Reino;Nombre Cinetífico;Nombre Común;Estado de Conservación vigente;URL Ficha;
"Animalia";"Phoenicoparrus jamesi";"Parina chica";"Vulnerable (VU)";"https://simbio.mma.gob.cl/Especies/Details/4794";
"Animalia";"Phoenicopterus chilensis";"Flamenco chileno";"Vulnerable (VU)";"https://simbio.mma.gob.cl/Especies/Details/4795";
"Animalia";"Chlidonias niger";"Gaviotín negro";"";"https://simbio.mma.gob.cl/Especies/Details/4796";
"Animalia";"Larosterna inca";"Gaviotín monja";"Vulnerable (VU)";"https://simbio.mma.gob.cl/Especies/Details/4797";
"Animalia";"Larus argentatus";"";"";"https://simbio.mma.gob.cl/Especies/Details/4798";
"Animalia";"Larus marinus";"";"";"https://simbio.mma.gob.cl/Especies/Details/4799";
"Animalia";"Larus dominicanus";"Gaviota dominicana";"";"https://simbio.mma.gob.cl/Especies/Details/4800";
"Animalia";"Larus belcheri";"Gaviota peruana";"";"https://simbio.mma.gob.cl/Especies/Details/4801";
"Animalia";"Rynchops niger";"Rayador";"";"https://simbio.mma.gob.cl/Especies/Details/4802";
"Animalia";"Gygis alba";"Gaviotín albo";"";"https://simbio.mma.gob.cl/Especies/Details/4803";
"Animalia";"Xema sabini";"Gaviota de Sabine";"";"https://simbio.mma.gob.cl/Especies/Details/4804";
"Animalia";"Procelsterna cerulea";"Gaviotín de San Ambrosio ";"";"https://simbio.mma.gob.cl/Especies/Details/4805";
"Animalia";"Creagrus furcatus";"Gaviota de las Galapagos";"";"https://simbio.mma.gob.cl/Especies/Details/4806";
"Animalia";"Thalasseus sandvicensis";"Gaviotín de Sandwich";"";"https://simbio.mma.gob.cl/Especies/Details/4807";
"Animalia";"Gelochelidon nilotica";"Gaviotín de pico grueso";"";"https://simbio.mma.gob.cl/Especies/Details/4808";
"Animalia";"Thalasseus elegans";"Gaviotín elegante";"";"https://simbio.mma.gob.cl/Especies/Details/4809";
"Animalia";"Phaethon rubricauda";"Ave del trópico de cola roja";"Vulnerable (VU)";"https://simbio.mma.gob.cl/Especies/Details/4810";
"Animalia";"Phaethon lepturus";"Ave del trópico de cola blanca";"";"https://simbio.mma.gob.cl/Especies/Details/4811";
"Animalia";"Phoebetria palpebrata";"albatros oscuro de manto claro";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4812";
"Animalia";"Phoebetria fusca";"albatros oscuro";"No presente en Chile";"https://simbio.mma.gob.cl/Especies/Details/4813";
"Animalia";"Phoebastria irrorata";"albatros de las Galápagos";"En peligro crítico (CR)";"https://simbio.mma.gob.cl/Especies/Details/4814";
"Animalia";"Thalassarche chlororhynchos";"Albatros de pico delgado";"";"https://simbio.mma.gob.cl/Especies/Details/4815";
"Animalia";"Thalassarche cauta";"Albatros de frente blanca";"Casi amenazada (NT)";"https://simbio.mma.gob.cl/Especies/Details/4816";
"Animalia";"Thalassarche chrysostoma";"Albatros de cabeza gris";"Casi amenazada (NT)";"https://simbio.mma.gob.cl/Especies/Details/4817";
"Animalia";"Thalassarche melanophris";"Albatros de ceja negra";"Preocupación menor (LC)";"https://simbio.mma.gob.cl/Especies/Details/4818";
"Animalia";"Thalassarche bulleri";"Albatros de Buller";"Casi amenazada (NT)";"https://simbio.mma.gob.cl/Especies/Details/4819";
"Animalia";"Pelecanoides urinatrix";"Yunco de los canales";"";"https://simbio.mma.gob.cl/Especies/Details/4820";
"Animalia";"Pelecanoides garnotii";"Yunco";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4821";
"Animalia";"Pelecanoides magellani";"Yunco de Magallanes";"";"https://simbio.mma.gob.cl/Especies/Details/4822";
"Animalia";"Fulmarus glacialoides";"Petrel plateado";"";"https://simbio.mma.gob.cl/Especies/Details/4823";
"Animalia";"Fulmarus glacialis";"Petrel boreal";"";"https://simbio.mma.gob.cl/Especies/Details/4824";
"Animalia";"Aphrodroma brevirostris";"Fardela de Kerguelen";"";"https://simbio.mma.gob.cl/Especies/Details/4825";
"Animalia";"Pterodroma nigripennis";"Petrel de alas negras";"";"https://simbio.mma.gob.cl/Especies/Details/4826";
"Animalia";"Pterodroma defilippiana";"Fardela blanca de Más a Tierra";"Vulnerable (VU)";"https://simbio.mma.gob.cl/Especies/Details/4827";
"Animalia";"Pterodroma incerta";"Fardela de cabeza parda";"";"https://simbio.mma.gob.cl/Especies/Details/4828";
"Animalia";"Pterodroma inexpectata";"Petrel moteado";"";"https://simbio.mma.gob.cl/Especies/Details/4829";
"Animalia";"Pterodroma mollis";"Petrel de collar gris";"";"https://simbio.mma.gob.cl/Especies/Details/4830";
"Animalia";"Pterodroma longirostris";"Fardela blanca de Más Afuera";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4831";
"Animalia";"Pterodroma ultima";"Fardela de Murphy";"";"https://simbio.mma.gob.cl/Especies/Details/4832";
"Animalia";"Pterodroma externa";"Fardela blanca";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4833";
"Animalia";"Pterodroma alba";"Fardela de Fenix";"";"https://simbio.mma.gob.cl/Especies/Details/4834";
"Animalia";"Pterodroma atrata";"Fardela de Henderson";"";"https://simbio.mma.gob.cl/Especies/Details/4835";
"Animalia";"Pterodroma arminjoniana";"Petrel de Trinidad";"";"https://simbio.mma.gob.cl/Especies/Details/4836";
"Animalia";"Pterodroma heraldica";"Fardela heraldica";"";"https://simbio.mma.gob.cl/Especies/Details/4837";
"Animalia";"Pterodroma neglecta";"Fardela negra de Juan Fernández";"En Peligro (EN)";"https://simbio.mma.gob.cl/Especies/Details/4838";
"Animalia";"Pterodroma cookii";"Fardela de Cook";"Vulnerable (VU)";"https://simbio.mma.gob.cl/Especies/Details/4839";
"Animalia";"Procellaria westlandica";"Fardela de Nueva Zelanda";"";"https://simbio.mma.gob.cl/Especies/Details/4840";
"Animalia";"Procellaria aequinoctialis";"Fardela negra grande";"";"https://simbio.mma.gob.cl/Especies/Details/4841";
"Animalia";"Procellaria parkinsoni";"Fardela de Parkinson";"";"https://simbio.mma.gob.cl/Especies/Details/4842";
"Animalia";"Procellaria cinerea";"Fardela gris";"";"https://simbio.mma.gob.cl/Especies/Details/4843";
"Animalia";"Thalassoica antarctica";"Petrel antártico";"";"https://simbio.mma.gob.cl/Especies/Details/4844";
"Animalia";"Macronectes giganteus";"Petrel gigante antártico";"";"https://simbio.mma.gob.cl/Especies/Details/4845";
"Animalia";"Macronectes halli";"Petrel gigante subantártico";"";"https://simbio.mma.gob.cl/Especies/Details/4846";
"Animalia";"Daption capense";"Petrel damero";"";"https://simbio.mma.gob.cl/Especies/Details/4847";
"Animalia";"Halobaena caerulea";"Petrel azulado";"";"https://simbio.mma.gob.cl/Especies/Details/4848";
"Animalia";"Stercorarius pomarinus";"Salteador pomarino";"";"https://simbio.mma.gob.cl/Especies/Details/4849";
"Animalia";"Stercorarius chilensis";"Salteador chileno";"";"https://simbio.mma.gob.cl/Especies/Details/4850";
"Animalia";"Stercorarius longicaudus";"Salteador de cola larga";"";"https://simbio.mma.gob.cl/Especies/Details/4851";
"Animalia";"Stercorarius maccormicki";"Salteador polar";"";"https://simbio.mma.gob.cl/Especies/Details/4852";
"Animalia";"Stercorarius parasiticus";"Salteador chico";"";"https://simbio.mma.gob.cl/Especies/Details/4853";
"Animalia";"Stercorarius antarcticus";"Salteador pardo";"";"https://simbio.mma.gob.cl/Especies/Details/4854";
"Animalia";"Eudyptes chrysocome";"Pingüino de penacho amarillo";"";"https://simbio.mma.gob.cl/Especies/Details/4855";
"Animalia";"Eudyptes chrysolophus";"Pingüino macaroni";"";"https://simbio.mma.gob.cl/Especies/Details/4856";
"Animalia";"Eudyptula minor";"Pingüino enano";"";"https://simbio.mma.gob.cl/Especies/Details/4857";
"Animalia";"Aptenodytes patagonicus";"Pingüino rey";"";"https://simbio.mma.gob.cl/Especies/Details/4858";
"Animalia";"Aptenodytes forsteri";"Pingüino emperador";"";"https://simbio.mma.gob.cl/Especies/Details/4859";
"Animalia";"Pygoscelis antarcticus";"Pingüino de barbijo";"";"https://simbio.mma.gob.cl/Especies/Details/4860";
"Animalia";"Pygoscelis papua";"Pingüino papua";"";"https://simbio.mma.gob.cl/Especies/Details/4861";
"Animalia";"Limnodromus griseus";"";"";"https://simbio.mma.gob.cl/Especies/Details/4862";
"Animalia";"Limosa haemastica";"Zarapito de pico recto";"";"https://simbio.mma.gob.cl/Especies/Details/4863";
"Animalia";"Limosa lapponica";"Zarapito de cola barrada";"";"https://simbio.mma.gob.cl/Especies/Details/4864";
"Animalia";"Limosa fedoa";"Zarapito moteado";"";"https://simbio.mma.gob.cl/Especies/Details/4865";
