Especie ID;Nombre científico ;Nombre común;Clase;RCE;Titular;Fuente;Link;Usa N. Científico;Usa N. Común;Alcance;Es protagonsita;Tono predominante;Tiene foto;Endémica
93;Amphidoxa quadrata;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;;Sí
94;Amphidoxa selkirki;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;;Sí
95;Amphidoxa tessellata;Caracol terrestre Amphidoxa;Gastropoda;EN;;;;;;;;;;Sí
96;Anairetes fernandezianus;Cachudito de Juan Fernández ;Aves;EN-RARA;;;;;;;;;;Sí
97;Aplochiton marinus;Peladilla;Actinopterygii;EN;;;;;;;;;;Sí
98;Aplochiton zebra;Peladilla;Actinopterygii;EN;;;;;;;;;;Sí
99;Apterodorcus tristis;Mancapollo, pica pollo, borracho, borrachito, buey;Insecta;EN;;;;;;;;;;Sí
100;Ardenna creatopus;Fardela blanca;Aves;EN;;;;;;;;;;Sí
101;Bolborhinum trilobulicorne;Escarabajo;Insecta;EN;;;;;;;;;;Sí
102;Brachistosternus cepedai;Escorpión de Cepeda;Arachnida;EN;;;;;;;;;;Sí
103;Bullockia maldonadoi;Bagrecito;Actinopterygii;EN;;;;;;;;;;Sí
104;Callyntra cantillana;Cascarudo de Cantillana;Insecta;EN;;;;;;;;;;Sí
105;Callyntra multicosta;Cascarudo de Las Docas;Insecta;EN;;;;;;;;;;Sí
106;Callyntra penai;Cascarudo de Peña;Insecta;EN;;;;;;;;;;Sí
107;Callyntra planiuscula;Cascarudo de la Plata;Insecta;EN;;;;;;;;;;Sí
108;Charopa involuta;Caracol terrestre Charopa;Gastropoda;EN;;;;;;;;;;Sí
109;Charopa masafuerae;Caracol terrestre Charopa;Gastropoda;EN;;;;;;;;;;Sí
110;Cheirodon kiliani;Pocha;Actinopterygii;EN-RARA;;;;;;;;;;Sí
111;Chileputo chilensis;Chanchito blanco de la araucaria;Insecta;EN ;;;;;;;;;;Sí
112;Chinchilla lanigera;Chinchilla costina;Mammalia;EN;;;;;;;;;;Sí
113;Chrysiptera rapanui;Mamata;Actinopterygii;EN;;;;;;;;;;Sí
114;Cnemalobus hirsutus;;Insecta;EN;;;;;;;;;;Sí
115;Cnemalobus nuria;;Insecta;EN;;;;;;;;;;Sí
116;Conognatha azarae fisheri;Balita, insecto joya de Fisher;Insecta;EN;;;;;;;;;;Sí
117;Conognatha leechi;Balita, insecto joya de Leech;Insecta;EN;;;;;;;;;;Sí
118;Diplomystes camposensis;Tollo;Actinopterygii;EN;;;;;;;;;;Sí
119;Diplomystes chilensis;Tollo de agua dulce;Actinopterygii;EN-RARA;;;;;;;;;;Sí
120;Diplomystes nahuelbutaensis;Tollo ;Actinopterygii;EN;;;;;;;;;;Sí
121;Enodisomacris curtipennis;"Langosta de alas cortas; langosta de Ureta; langosta de Lila; langosta de La Chimba
";Insecta;EN;;;;;;;;;;Sí
122;Erichius virgatus;Borrachito de Tolhuaca, borrachito listado de Tolhuaca;Insecta;EN;;;;;;;;;;Sí
123;Euathlus affinis;Tarántula afín de Santiago;Arachnida;EN;;;;;;;;;;Sí
124;Eupsophus altor;Rana de hojarasca de Oncol;Amphibia;EN;;;;;;;;;;Sí
125;Eupsophus contulmoensis;Sapo de Contulmo;Amphibia;EN;;;;;;;;;;Sí
126;Eupsophus insularis;Sapo de Isla Mocha;Amphibia;EN-RARA;;;;;;;;;;Sí
127;Eupsophus migueli;Sapo de Miguel;Amphibia;EN-RARA;;;;;;;;;;Sí
128;Eupsophus nahuelbutensis;Sapo de Nahuelbuta;Amphibia;EN-RARA;;;;;;;;;;Sí
129;Eupsophus septentrionalis;Ranita de Los Queules;Amphibia;EN;;;;;;;;;;Sí
130;Exallococcus laureliae;Cochinilla de fieltro (genérico);Insecta;EN;;;;;;;;;;Sí
131;Falco sparverius fernandenzis;Cernícalo de Juan Fernández;Aves;EN;;;;;;;;;;Sí
132;Fernandezia bulimoides;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
133;Fernandezia conifera;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
134;Fernandezia consimilis;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
135;Fernandezia cylindrella;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
136;Fernandezia diaphana;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
137;Fernandezia expansa;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
138;Fernandezia inornata;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
139;Fernandezia longa;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
140;Fernandezia philippiana;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
141;Fernandezia splendida;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
142;Fernandezia tryoni;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
143;Fernandezia wilsoni;Caracol terrestre de Juan Fernández;Gastropoda;EN;;;;;;;;;;Sí
144;Galaxias globiceps;Puye;Actinopterygii;EN-RARA;;;;;;;;;;Sí
145;Gyriosomus angustus;Vaquita del desierto de Paposo;Insecta;EN;;;;;;;;;;Sí
146;Heleobia ascotanensis;Caracol;Gastropoda;EN;;;;;;;;;;Sí
147;Henicotherus francisca;No conocido;Insecta;EN;;;;;;;;;;Sí
148;Homoeomma orellanai;Tarántula enana de penacho amarillo, araña pollito;Arachnida;EN;;;;;;;;;;Sí
149;Insuetophrynus acarpicus;Sapo ;Amphibia;EN-RARA;;;;;;;;;;Sí
150;Lasia pulla;Mosca colibrí enana;Insecta;EN;;;;;;;;;;Sí
151;Liolaemus buergeri;Lagartija de Bürger;Reptilia;EN;;;;;;;;;;Sí
152;Liolaemus carlosgarini;Lagartija de Garín;Reptilia;EN;;;;;;;;;;Sí
153;Liolaemus chillanensis;Lagarto de Chillán;Reptilia;EN;;;;;;;;;;Sí
154;Liolaemus fabiani;Lagartija de Fabián;Reptilia;EN;;;;;;;;;;Sí
155;Liolaemus foxi;Lagartija de Fox;Reptilia;EN;;;;;;;;;;Sí
156;Liolaemus frassinettii;Lagartija del Cerro Cantillana, lagarto de Frassinetti;Reptilia;EN;;;;;;;;;;Sí
157;Liolaemus leftrarui;Lagartija de Leftraru, Leftraru’s Lizard (Inglés);Reptilia;EN;;;;;;;;;;Sí
158;Liolaemus leopardinus;Lagarto leopardo;Reptilia;EN;;;;;;;;;;Sí
159;Liolaemus manueli;Lagartija de Manuel;Reptilia;EN;;;;;;;;;;Sí
160;Liolaemus nigrocoeruleus;Lagartija negro azulada, Black Bluish Lizard (Inglés);Reptilia;EN;;;;;;;;;;Sí
161;Liolaemus poconchilensis;Lagarto de Poconchile;Reptilia;EN;;;;;;;;;;Sí
162;Liolaemus scorialis;Lagarto del escorial, Slag Lizard (Inglés);Reptilia;EN;;;;;;;;;;Sí
163;Liolaemus septentrionalis;Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Reptilia;EN;;;;;;;;;;Sí
164;Liolaemus ubaghsi;Lagarto leopardo de Ubaghs, Ubaghs’ Leopard Lizard (Inglés);Reptilia;EN;;;;;;;;;;Sí
165;Liolaemus villaricensis;Lagartija;Reptilia;EN;;;;;;;;;;Sí
166;Luispenaia paposo;Pololo de Paposo;Insecta;EN;;;;;;;;;;Sí
167;Lycalopex fulvipes;Zorro de Chiloé;Mammalia;EN;;;;;;;;;;Sí
168;Lynceus huentelauquensis;Camarón almeja de Huentelauquén;Branchiopoda;EN;;;;;;;;;;Sí
169;Mordacia lapicida;Lamprea de agua dulce;Cephalaspidomorphi;EN;;;;;;;;;;Sí
170;Nematogenys inermis;Bagre grande;Actinopterygii;EN;;;;;;;;;;Sí
171;Neuquenaphis staryi;"No tiene, se propone ""pulgón del Ruíl""";Insecta;EN;;;;;;;;;;Sí
172;Nycterinus angusticollis;Insecto joya;Insecta;EN;;;;;;;;;;Sí
173;Nycterinus borealis;Cucaracho negro;Insecta;EN;;;;;;;;;;Sí
174;Nycterinus mannerheimi;Tenebrio de Mannerheim, teatino de Mannerheim;Insecta;EN;;;;;;;;;;Sí
175;Oogenius castilloi;;Insecta;EN;;;;;;;;;;Sí
176;Oogenius penai;;Insecta;EN;;;;;;;;;;Sí
177;Orestias ascotanensis;Karachi, orestias;Actinopterygii;EN;;;;;;;;;;Sí
178;Orestias chungarensis;Karachi, orestias;Actinopterygii;EN;;;;;;;;;;Sí
179;Orestias laucaensis;Karachi, orestias;Actinopterygii;EN;;;;;;;;;;Sí
180;Orestias parinacotensis;Karachi, orestias;Actinopterygii;EN;;;;;;;;;;Sí
181;Paropisthopatus umbrinus;Gusano aterciopelado, onicóforo (genérico);Udeonycophora;EN;;;;;;;;;;Sí
182;Percilia gillissi;Carmelita;Actinopterygii;EN;;;;;;;;;;Sí
183;Percilia irwini;Carmelita de Concepción;Actinopterygii;EN;;;;;;;;;;Sí
184;Phyllopetalia altarensis;;Insecta;EN;;;;;;;;;;Sí
185;Phymaturus bibronii;Matuasto de Bibron;Reptilia;EN;;;;;;;;;;Sí
186;Phymaturus darwini;Matuasto de Darwin, lagarto de cola gruesa;Reptilia;EN;;;;;;;;;;Sí
187;Phymaturus maulense;Matuasto;Reptilia;EN;;;;;;;;;;Sí
188;Plectostylus araucanus;Caracol de árbol araucano, caracol de árbol;Gastropoda;EN;;;;;;;;;;Sí
189;Praocis aenea;Vaquita;Insecta;EN;;;;;;;;;;Sí
190;Praocis bicentenario;Vaquita del bicentenario;Insecta;EN;;;;;;;;;;Sí
191;Pristidactylus valeriae;Gruñidor de Valeria;Reptilia;EN;;;;;;;;;;Sí
192;Pristidactylus volcanensis;Gruñidor de El Volcán;Reptilia;EN;;;;;;;;;;Sí
193;Pterodroma externa;Fardela blanca de Juan Fernández, petrel de Juan Fernández;Aves;EN;;;;;;;;;;Sí
194;Pterodroma longirostris;Fardela de Más Afuera;Aves;EN;;;;;;;;;;Sí
195;Ptychodon oculta;Caracol terrestre Ptychodon;Gastropoda;EN;;;;;;;;;;Sí
196;Ptychodon skottsberg;Caracol terrestre Ptychodon;Gastropoda;EN;;;;;;;;;;Sí
197;Scotobius planicosta;;Insecta;EN;;;;;;;;;;Sí
198;Succinea fragilis;Caracol terrestre Succinea;Gastropoda;EN;;;;;;;;;;Sí
199;Succinea mamillata;Caracol terrestre Succinea;Gastropoda;EN;;;;;;;;;;Sí
200;Succinea pinguis;Caracol terrestre Succinea;Gastropoda;EN;;;;;;;;;;Sí
201;Telmatobius pefauri;Sapo de Pefaur;Amphibia;EN-RARA;;;;;;;;;;Sí
202;Telmatobius philippii;Sapo de Philippi;Amphibia;EN;;;;;;;;;;Sí
203;Telmatobius zapahuirensis;Sapo de Zapahuira;Amphibia;EN-RARA;;;;;;;;;;Sí
204;Telmatobufo ignotus;Rana montana de Los Queules;Amphibia;EN;;;;;;;;;;Sí
205;Telmatobufo venustus;Sapo hermoso;Amphibia;EN;;;;;;;;;;Sí
206;Tornatellina minuta;Caracol terrestre Tornatellina;Gastropoda;EN;;;;;;;;;;Sí
207;Trichomycterus chiltoni;Bagrecito;Actinopterygii;EN-RARA;;;;;;;;;;Sí
208;Trichomycterus chungaraensis;Bagrecito;Actinopterygii;EN-RARA;;;;;;;;;;Sí
209;Trichomycterus laucaensis;Bagrecito;Actinopterygii;EN;;;;;;;;;;Sí
210;Trichomycterus rivulatus;Bagrecito;Actinopterygii;EN-RARA;;;;;;;;;;Sí
211;Uretacris lilai;Langosta de Ureta, langosta de Lila, langosta de La Chimba;Insecta;EN;;;;;;;;;;Sí
212;Valdiviomyia gigantea;Mosca florícola valdiviana gigante;Insecta;EN;;;;;;;;;;Sí
213;Virilastacus rucapihuelensis;Camarón;Malacostraca;EN;;;;;;;;;;Sí
214;Hippocamelus bisulcus;huemul, taruca, wümul, güemul, shoan, shoen, trula, hueque, ciervo sur andino;Mammalia;EN;1000 genomas: el proyecto que busca construir el inventario más completo de la biodiversidad de Chile;Pontificia Universidad Católica de Chile;https://biologia.uc.cl/1000-genomas-el-proyecto-que-busca-construir-el-inventario-mas-completo-de-la-biodiversidad-de-chile/;1;1;Nacional;0;Científico / Educativo;0;No
214;Hippocamelus bisulcus;huemul, taruca, wümul, güemul, shoan, shoen, trula, hueque, ciervo sur andino;Mammalia;EN;Chile levanta el mayor registro genético de su biodiversidad;EL PAÍS;https://elpais.com/chile/2025-10-20/chile-levanta-el-mayor-registro-genetico-de-su-biodiversidad.html;0;1;Nacional;0;Científico / Educativo;0;No
214;Hippocamelus bisulcus;huemul, taruca, wümul, güemul, shoan, shoen, trula, hueque, ciervo sur andino;Mammalia;EN;El pingüino de Humboldt es declarado Monumento Natural de Chile;ELPINGUINO.COM;https://www.elpinguino.com/noticia/2026/02/16/el-pinguino-de-humboldt-es-declarado-monumento-natural-de-chile;1;1;Nacional;0;Conservación / Positivo;0;No
214;Hippocamelus bisulcus;huemul, taruca, wümul, güemul, shoan, shoen, trula, hueque, ciervo sur andino;Mammalia;EN;Dispersión forzada y ausencia de planificación metapoblacional en la conservación del huemul;Universidad Austral de Chile;https://diario.uach.cl/dispersion-forzada-y-ausencia-de-planificacion-metapoblacional-en-la-conservacion-del-huemul/;1;1; Nacional;1; Denuncia/Conflicto;1;No
214;Hippocamelus bisulcus;huemul, taruca, wümul, güemul, shoan, shoen, trula, hueque, ciervo sur andino;Mammalia;EN;Senda del Huemul 2026 refuerza compromiso por la conservación en Parque Cerro Castillo;Diario Sostenible;https://www.diariosostenible.cl/noticia/actualidad/2026/03/senda-del-huemul-2026-refuerza-compromiso-por-la-conservacion-en-parque-cerro-castillo;1;1; Nacional;1; Conservación/Positivo;1;No
214;Hippocamelus bisulcus;huemul, taruca, wümul, güemul, shoan, shoen, trula, hueque, ciervo sur andino;Mammalia;EN;Inaugura primer centro de rescate del huemul del sur para proteger al ciervo más austral del mundo;El Mostrador;https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2025/10/27/inaugura-primer-centro-de-rescate-del-huemul-del-sur-para-proteger-al-ciervo-mas-austral-del-mundo/;1;1; Nacional;1; Conservación/Positivo;1;No
214;Hippocamelus bisulcus;huemul, taruca, wümul, güemul, shoan, shoen, trula, hueque, ciervo sur andino;Mammalia;EN;Senda del Huemul 2026 refuerza compromiso por la conservación en Parque Cerro Castillo;Diario Regional Aysén;https://www.diarioregionalaysen.cl/noticia/diario-sostenible/2026/03/senda-del-huemul-2026-refuerza-compromiso-por-la-conservacion-en-parque-cerro-castillo;1;1; Nacional;1; Conservación/Positivo;1;No
214;Hippocamelus bisulcus;huemul, taruca, wümul, güemul, shoan, shoen, trula, hueque, ciervo sur andino;Mammalia;EN;Desarrollo productivo y protección del huemul marcan cierre de programas FIC en la Reserva de la Biósfera;La Discusión;https://ladiscusion.cl/desarrollo-productivo-y-proteccion-del-huemul-marcan-cierre-de-programas-fic-en-la-reserva-de-la-biosfera/;1;1; Nacional;1; Conservación/Positivo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Revelan cómo el hongo quítrido se propaga y empuja a la ranita de Darwin a la extinción en Chile;El Mostrador;https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2026/01/09/revelan-como-el-hongo-quitrido-se-propaga-y-empuja-a-la-ranita-de-darwin-a-la-extincion-en-chile/;1;1;Nacional;1;Conservación / Positivo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Contra ranita de Darwin, pingüino de Humboldt y áreas protegidas: Kast defiende retiro de 43 decretos medioambientales;Interferencia |;https://interferencia.cl/articulos/contra-ranita-de-darwin-pinguino-de-humboldt-y-areas-protegidas-kast-defiende-retiro-de-43;0;1;Nacional;1;Denuncia / Conflicto;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Revelan cómo el hongo quítrido se propaga y empuja a la ranita de Darwin a la extinción en Chile;El Mostrador;https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2026/01/09/revelan-como-el-hongo-quitrido-se-propaga-y-empuja-a-la-ranita-de-darwin-a-la-extincion-en-chile/;0;1;Nacional;1;Científico / Educativo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;"Oceana: Los pingüinos de Humboldt ""están en peligro"", no tienen el mismo tiempo que los gobiernos";Universidad de Chile;https://radio.uchile.cl/2026/03/19/oceana-los-pinguinos-de-humboldt-estan-en-peligro-no-tienen-el-mismo-tiempo-que-los-gobiernos/;1;1;Nacional;1;Conservación / Positivo;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Retiran decreto que protegía al pingüino de Humboldt;El Ovallino;https://www.elovallino.cl/retiran-decreto-que-protegia-al-pinguino-de-humboldt/;0;1;Nacional;1;Denuncia / Conflicto;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;¿Sin protección?: Ranita de Darwin y Pingüino de Humboldt, las dos especies icónicas de Chile en medio del debate ambiental;Publimetro;https://www.publimetro.cl/noticias/2026/03/17/sin-proteccion-ranita-de-darwin-y-pinguino-de-humboldt-las-dos-especies-iconicas-de-chile-en-medio-del-debate-ambiental/;1;1;Nacional;1;Denuncia / Conflicto;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Protección del pingüino de Humboldt y descontaminación del lago Villarrica: las razones del Ejecutivo para retirar 43 decretos ambientales;El Dínamo;https://www.eldinamo.cl/sociedad/medio-ambiente/2026/03/17/proteccion-del-pinguino-de-humboldt-y-descontaminacion-del-lago-villarrica-las-razones-del-ejecutivo-para-retirar-43-decretos-ambientales/;1;1;Nacional;1;Denuncia/Conflicto;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Gobierno retira más de 40 decretos ambientales que creaban parques nacionales y otorgaban protección a la ranita de Darwin y el pingüino de Humboldt;The Clinic;https://www.theclinic.cl/2026/03/17/gobierno-retira-mas-de-40-decretos-ambientales-que-creaban-parques-nacionales-y-otorgaban-proteccion-a-la-ranita-de-darwin-y-el-pinguino-de-humboldt/;1;1;Nacional;1;Denuncia/Conflicto;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Pingüino de Humboldt y ranita de Darwin: Revisa el estado actual de los 43 decretos ambientales retirados por Kast;El Desconcierto;https://eldesconcierto.cl/2026/03/20/pinguino-de-humboldt-y-ranita-de-darwin-revisa-el-estado-actual-de-los-43-decretos-ambientales-retirados-por-kast;1;1;Nacional;1;Conservación/Positivo;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Debate ambiental en Chile: Ranita de Darwin y Pingüino de Humboldt en riesgo;Radio Canal 95;https://www.canal95.cl/nacional/debate-ambiental-chile-ranita-darwin-pinguino-humboldt-riesgo;1;1;Nacional;1;Denuncia/Conflicto;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Gobierno retira más de 40 decretos ambientales: Entre ellos la protección a Ranita de Darwin y Pingüino de Humboldt;Meganoticias;https://www.meganoticias.cl/nacional/517253-gobierno-retira-mas-de-40-decretos-ambientales-proteccion-ranita-de-darwin-pinguino-de-humboldt-17-3-2026.html;1;1; Nacional;1; Denuncia/Conflicto;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;“Desde hoy en adelante no usaré desodorante, sólo Tanax”: insecticida se vuelve viral por crítica a retiro de decreto que protegía a Pingüino de Humboldt y Ranita de Darwin;Publimetro;https://www.publimetro.cl/social/2026/03/18/desde-hoy-en-adelante-no-usare-desodorante-solo-tanax-insecticida-se-vuelve-viral-por-critica-a-retiro-de-decreto-que-protegia-a-pinguino-de-humboldt-y-ranita-de-darwin/;1;1; Nacional;1; Denuncia/Conflicto;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;La ranita descubierta por Charles Darwin en Chile busca salvarse de la extinción;EL PAÍS;https://elpais.com/chile/2026-02-23/la-ranita-descubierta-por-charles-darwin-en-chile-busca-salvarse-de-la-extincion.html;1;1; Nacional;1; Conservación/Positivo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Hongo letal amenaza la supervivencia de la ranita de Darwin;Noticias UNAB;https://noticias.unab.cl/investigacion-con-sello-unab-revela-como-un-hongo-letal-amenaza-la-supervivencia-de-la-ranita-de-darwin/;0;1; Nacional;1; Científico/Educativo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Ranita de Darwin: La increíble historia de su viaje a Londres para salvarlas de la extinción;Cooperativa Ciencia;https://www.cooperativaciencia.cl/radiociencia/2026/03/20/ranita-de-darwin-la-increible-historia-de-su-viaje-a-londres-para-salvarlas-de-una-epidemia-en-2024/;1;1; Nacional;1; Conservación/Positivo;0;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Dilucidan cómo una enfermedad está extinguiendo a la ranita de Darwin: ya mató a su especie hermana;BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2026/01/08/dilucidan-como-una-enfermedad-esta-extinguiendo-a-la-ranita-de-darwin-ya-mato-a-su-especie-hermana.shtml;0;1; Nacional;1; Científico/Educativo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Descubren nueva población de ranita de Darwin en zona amenazada por construcción de carretera eléctrica en Chiloé;El Desconcierto;https://eldesconcierto.cl/2026/02/21/descubren-nueva-poblacion-de-ranita-de-darwin-en-zona-amenazada-por-construccion-de-carretera-electrica-en-chiloe;0;1; Nacional;1; Denuncia/Conflicto;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Científico chileno lidera estudio clave sobre la extinción de la ranita de Darwin;24horas;https://www.24horas.cl/conciencia-24-7/ciencia/cientifico-chileno-estudio-extincion-ranita-darwin;0;1; Nacional;1; Científico/Educativo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Alianza internacional en Huilo Huilo busca proteger a la Ranita de Darwin de hongo letal;Cooperativa.cl;https://www.cooperativa.cl/noticias/sociedad/fauna/alianza-internacional-en-huilo-huilo-busca-proteger-a-la-ranita-de/2026-02-06/124716.html;0;1; Nacional;1; Conservación/Positivo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Guardabosques chilenos y Zoólogico de Londres buscan salvar a la ranita de Darwin de la extinción;ADN Radio;https://www.adnradio.cl/2026/02/23/guardabosques-chilenos-y-zoologico-de-londres-buscan-salvar-a-la-ranita-de-darwin-de-la-extincion/;1;1; Nacional;1; Conservación/Positivo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Científico chileno lidera estudio que revela cómo un hongo letal está extinguiendo a la ranita de Darwin;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2026/01/02/cientifico-chileno-lidera-estudio-que-revela-como-un-hongo-letal-esta-extinguiendo-a-la-ranita-de-darwin/;1;1; Nacional;1; Científico/Educativo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Investigación chilena descubre cómo un hongo invasivo provoca epidemias letales en anfibios terrestres;BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2026/01/26/investigacion-chilena-descubre-como-un-hongo-invasivo-provoca-epidemias-letales-en-anfibios-terrestres.shtml;0;1; Nacional;1; Científico/Educativo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Alianza en la Reserva Biológica Huilo Huilo busca proteger a la ranita de Darwin de la extinción;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2026/02/05/alianza-en-la-reserva-biologica-huilo-huilo-busca-proteger-a-la-ranita-de-darwin-de-la-extincion/;1;1; Nacional;1; Conservación/Positivo;1;No
215;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;Descubren nueva población de Ranita de Darwin en Villarrica;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2025/09/25/descubren-nueva-poblacion-de-ranita-de-darwin-en-villarrica/;1;1; Nacional;1; Conservación/Positivo;1;No
216;Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Aves;EN;Chile: Gobierno frena protección del pingüino de Humboldt;dw.com;https://www.dw.com/es/chile-nuevo-gobierno-frena-protecci%C3%B3n-del-ping%C3%BCino-de-humboldt/a-76420241;0;1;Nacional;1;Denuncia / Conflicto;1;No
216;Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Aves;EN;Ministra Rojas expone dramático estado del pingüino de Humboldt, lagarto gruñidor y otras 70 especies;El Desconcierto;https://eldesconcierto.cl/2025/10/18/ministra-rojas-expone-dramatico-estado-del-pinguino-de-humboldt-lagarto-grunidor-y-otras-70-especies;0;1;Nacional;1;Alarma / Crisis;1;No
216;Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Aves;EN;Pingüino de Humboldt y lagarto gruñidor en peligro;Diario Sustentable;https://www.diariosustentable.com/2025/10/pinguino-de-humboldt-lagarto-grunidor-y-plantas-endemicas-de-juan-fernandez-aumentan-su-riesgo-de-extincion-en-chile/;0;1;nacional;1;Alarma / Crisis;1;No
216;Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Aves;EN;Especies en riesgo: pingüino de Humboldt, lagarto de Álvaro y plantas de Juan Fernández en alerta;El Mostrador;https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2025/10/28/especies-en-riesgo-pinguino-de-humboldt-lagarto-de-alvaro-y-plantas-de-juan-fernandez-en-alerta/;0;1;Nacional;1;Alarma / Crisis;1;No
216;Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Aves;EN;Consejo de Ministros declara al pingüino de Humboldt como Monumento Natural para aumentar su protección;MMA – Ministerio del Medio Ambiente;https://mma.gob.cl/consejo-de-ministros-declara-al-pinguino-de-humboldt-como-monumento-natural-para-aumentar-su-proteccion/;1;1;Nacional;1;Conservación / Positivo;1;No
216;Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Aves;EN;Bucea como un profesional, pero tiene el corazón frágil: los 4 datos sobre el pingüino de Humboldt;nationalgeographicla.com;https://www.nationalgeographicla.com/animales/2026/01/bucea-como-un-profesional-pero-tiene-el-corazon-fragil-los-4-datos-sobre-el-pinguino-de-humboldt;1;1;Internacional;1;Científico / Educativo;1;No
216;Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Aves;EN;Pingüino de Humboldt en peligro de extinción: el 80% de la población mundial de esta especie habita en Chile.;greenpeace.org;https://www.greenpeace.org/chile/noticia/issues/oceanos/pinguino-de-humboldt-en-peligro-de-extincion-el-80-de-la-poblacion-mundial-de-esta-especie-habita-en-chile/;0;1;Nacional;1;Alarma / Crisis;1;No
216;Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Aves;EN;Chile inicia proceso para declarar Monumento Natural al pingüino de Humboldt;ELPINGUINO.COM;https://elpinguino.com/noticia/2026/01/23/chile-inicia-proceso-para-declarar-monumento-natural-al-pinguino-de-humboldt;1;1;Nacional;1;Conservación / Positivo;1;No
