position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date
1,"Escombros no retirados amenazan al caracol de Paposo, una pequeña especie única de Antofagasta",Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/escombros-no-retirados-amenazan-al-caracol-de-paposo-una-pequena-especie-unica-de-antofagasta/,https://laderasur.com/wp-content/uploads/2024/08/caracol-de-paposo-2.jpg,https://news.google.com/api/attachments/CC8iK0NnNTJVMUpvTW01WFpqTmZXak5zVFJETkF4aVpCU2dLTWdZWkk0QlFJUWc,"08/09/2024, 07:00 AM, +0000 UTC",2024-08-09T07:00:00Z
2,¡Está en peligro!: Caracol de Paposo se ve amenazado por escombros no retirados en humedal de Antofagasta,El Diario de Antofagasta,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diarioantofagasta.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diarioantofagasta.cl/regional/antofagasta/196107/esta-en-peligro-caracol-de-paposo-se-ve-amenazado-por-escombros-no-retirados-en-humedal-de-antofagasta/,https://www.diarioantofagasta.cl/wp-content/uploads/2024/08/PREVIEW-This-is-how-it-will-look-like-4-1068x712.png,https://news.google.com/api/attachments/CC8iK0NnNVNUMUpWVlRKT1F6aFRVMFF3VFJERUF4aW1CU2dLTWdhcEVaQ3VzUVk,"08/11/2024, 07:00 AM, +0000 UTC",2024-08-11T07:00:00Z
3,La riqueza natural de Paposo y la discusión por la Central de Bombeo de Colbún,Fundación Terram,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.terram.cl/la-riqueza-natural-de-paposo-y-la-discusion-por-la-central-de-bombeo-de-colbun/,https://www.terram.cl/wp-content/uploads/2024/10/cistanthe-sp.-pata-de-guanaco-1170x752.jpg,https://news.google.com/api/attachments/CC8iL0NnNUZUamN0V1dOR2FtZGxUM1pRVFJDOEF4aXpCU2dLTWdtVmdJNjB1Q1dEendF,"10/18/2024, 07:00 AM, +0000 UTC",2024-10-18T07:00:00Z
4,Este caracol endémico es capaz de sobrevivir al desierto más árido del mundo,Futuro 360 | CNN Chile,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://futuro360.cnnchile.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://futuro360.cnnchile.com/desafiotierra/caracol-endemico-desierto-arido_20220525/2,https://futuro360.cnnchile.com/site-media/images/pexels-marinko-krsmanovic-1680259-66ad727244bf6.jpg,https://news.google.com/api/attachments/CC8iI0NnNW5hVlpUZEdNdE1WZERjRWRFVFJDZkF4ampCU2dLTWdB,"05/25/2022, 07:00 AM, +0000 UTC",2022-05-25T07:00:00Z
5,Pingüino de Humboldt y especies endémicas en Chile aumentan riesgo de extinción,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cooperativaciencia.cl/medio-ambiente/2025/10/20/pinguino-de-humboldt-y-especies-endemicas-en-chile-aumentan-riesgo-de-extincion/,https://www.cooperativaciencia.cl/wp-content/uploads/2025/10/P.-DE-HUMBOLDT-3-768x512.jpg,https://news.google.com/api/attachments/CC8iL0NnNUNjMnh6UldGSmIyazNRa05SVFJERUF4aW1CU2dLTWdrQk1vU0tPYU81Y0FF,"10/20/2025, 07:00 AM, +0000 UTC",2025-10-20T07:00:00Z
6,"Especies en riesgo: pingüino de Humboldt, lagarto de Álvaro y plantas de Juan Fernández en alerta",El Mostrador,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2025/10/28/especies-en-riesgo-pinguino-de-humboldt-lagarto-de-alvaro-y-plantas-de-juan-fernandez-en-alerta/,https://media-front.elmostrador.cl/2025/10/Editar-imagenes-2-16-700x350.png,https://news.google.com/api/attachments/CC8iK0NnNWtXRlJ0T0RGM2MwSlBNMHRTVFJEZUFoaThCU2dLTWdZZE1JUUxvZ2c,"10/28/2025, 07:00 AM, +0000 UTC",2025-10-28T07:00:00Z
7,Descubren nueva especie de planta en Quebrada Botija ubicada en la región de Antofagasta,El Diario de Antofagasta,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diarioantofagasta.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diarioantofagasta.cl/medio-ambiente/173497/descubren-nueva-especie-de-planta-en-quebrada-botija-ubicada-en-la-region-de-antofagasta/,https://www.diarioantofagasta.cl/wp-content/uploads/2023/02/WhatsApp-Image-2023-02-09-at-11.06.40.jpeg,https://news.google.com/api/attachments/CC8iI0NnNHdiWGxWTFRCWWVFSlNkMGhsVFJERUF4aW1CU2dLTWdB,"02/09/2023, 08:00 AM, +0000 UTC",2023-02-09T08:00:00Z
8,Bioindicadores: Cuatro especies chilenas altamente sensibles y en peligro por la pérdida de su hábitat,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/bioindicadores-cuatro-especies-chilenas-altamente-sensibles-y-en-peligro-por-la-perdida-de-su-habitat/,https://laderasur.com/wp-content/uploads/2024/07/calama-9-2400x1400.jpg,https://news.google.com/api/attachments/CC8iK0NnNTBjVFZPUW0wd1JYTkhNRzUzVFJDbkF4alZCU2dLTWdZWklvNnRvUVU,"09/14/2024, 07:00 AM, +0000 UTC",2024-09-14T07:00:00Z
9,"Riesgo al ecosistema: Desconocidos instalaron ""represa"" con neumáticos en humedal de Antofagasta",El Diario de Antofagasta,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diarioantofagasta.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diarioantofagasta.cl/regional/antofagasta/172565/riesgo-al-ecosistema-desconocidos-instalaron-represa-con-neumaticos-en-humedal-de-antofagasta/,https://www.diarioantofagasta.cl/wp-content/uploads/2023/01/represas-humedal-antofagasta-1068x645.jpg,https://news.google.com/api/attachments/CC8iI0NnNWFaMDk1ZFVGSE5VaG1URW80VFJDdUF4akpCU2dLTWdB,"01/22/2023, 08:00 AM, +0000 UTC",2023-01-22T08:00:00Z
