position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
1,Estas son las especies que están en Peligro Crítico de Extinción en Chile,Canal 13,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.13.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.13.cl/c/programas/espacio-13c/estas-son-las-especies-que-estan-en-peligro-critico-de-extincion-en-chile,https://s.13.cl/sites/default/files/styles/manualcrop_850x475/public/13c/articulos/field-imagen/2023-10/peligro%20extinci%C3%B3n%20especies1.jpg.jpeg?itok=4yqg1Rtr,https://news.google.com/api/attachments/CC8iL0NnNXhhV0pOYWxGV05WWlhiek4xVFJDZkF4amlCU2dLTWdrQklJNUZzbVVlaFFJ,"10/13/2023, 07:00 AM, +0000 UTC",2023-10-13T07:00:00Z,
2,[REGIONAL] Defensor ambiental recibe amenazas tras denunciar destrucción de humedales protegidos en el Río Aconcagua,Diario La Quinta,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://diariolaquinta.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://diariolaquinta.cl/2025/04/22/regional-defensor-ambiental-recibe-amenazas-tras-denunciar-destruccion-de-humedales-protegidos-en-el-rio-aconcagua/,https://i0.wp.com/diariolaquinta.cl/wp-content/uploads/2025/04/bugueno.jpg?fit=1024%2C620&ssl=1,https://news.google.com/api/attachments/CC8iI0NnNUNZMkZqVWxwYVgybElNa2RuVFJDdkF4aklCU2dLTWdB,"04/22/2025, 07:00 AM, +0000 UTC",2025-04-22T07:00:00Z,
3,Una nueva lista que no quisiéramos tener que mostrar: 12 especies silvestres chilenas están peligro crítico de extinción,Meteored Chile,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.meteored.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.meteored.cl/noticias/actualidad/una-nueva-lista-que-no-quisieramos-tener-que-mostrar-12-especies-silvestres-chilenas-estan-peligro-critico-de-extincion.html,https://services.meteored.com/img/article/una-nueva-lista-que-no-quisieramos-tener-que-mostrar-12-especies-silvestres-chilenas-estan-peligro-critico-de-extincion-1697036865959_512.jpg,https://news.google.com/api/attachments/CC8iK0NnNVViRTE0VG5Ob1EzTnJhMFZpVFJEb0FoaUFCQ2dLTWdZQmhaTE1NUWM,"10/11/2023, 07:00 AM, +0000 UTC",2023-10-11T07:00:00Z,Gabriela Aceiton Cortes
4,Icónicos pingüinos chilenos podrían desaparecer: estas son las 12 nuevas especies en peligro crítico de extinción,La Tercera,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.latercera.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.latercera.com/que-pasa/noticia/iconicos-pinguinos-chilenos-podrian-desaparecer-estas-son-las-12-nuevas-especies-en-peligro-critico-de-extincion/HLODRPBSF5B2LPDH26ITU4F4JY/,https://www.latercera.com/resizer/v2/W4UJFQNBOFCCJKFBCE2AMKBICQ.jpg?auth=9091e9210366f938069fc89dd0b70154ad645dcb3a82567c3f3ac0a6986fb820&width=1200&smart=true,https://news.google.com/api/attachments/CC8iK0NnNVBlV0Z2WDFsRlZEVnRjakZ2VFJERUF4aW5CU2dLTWdheEFZc1JUUVE,"10/30/2023, 07:00 AM, +0000 UTC",2023-10-30T07:00:00Z,
