position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date
1,"Declaran al Lagarto gruñidor de Álvaro, especie endémica chilena, en «Peligro Crítico de Extinción",Fundación Terram,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.terram.cl/declaran-al-lagarto-grunidor-de-alvaro-especie-endemica-chilena-en-peligro-critico-de-extincion/,https://www.terram.cl/wp-content/uploads/2025/12/Lagarto_GDA-768x506-1.jpg,https://news.google.com/api/attachments/CC8iK0NnNTJWV0ZWVUdwTFozVkJkV2t3VFJEQkF4aXFCU2dLTWdZQllvWlJ1UVk,"12/02/2025, 08:00 AM, +0000 UTC",2025-12-02T08:00:00Z
2,"Escurridizos, antiguos y únicos: Descubriendo a los lagartos gruñidores de Chile",Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/escurridizos-antiguos-y-unicos-descubriendo-a-los-lagartos-grunidores-de-chile/,https://laderasur.com/wp-content/uploads/2025/08/grunidor-de-alvaro-pristidactylus-alvaroi-c-claudio-reyes-olivares.jpeg,https://news.google.com/api/attachments/CC8iK0NnNWZiVVl0TjJObWN6QlFMVmR1VFJEeUF4am9CQ2dLTWdhVmRKVExLUWc,"08/15/2025, 07:00 AM, +0000 UTC",2025-08-15T07:00:00Z
3,Equipo UM logró que el “Lagarto gruñidor de Álvaro” sea considerado “en peligro crítico de extinción”,Diario Mayor,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.diariomayor.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diariomayor.cl/creando-universidad/academicos/equipo-um-logro-que-el-lagarto-grunidor-de-alvaro-sea-considerado-en-peligro-critico-de-extincion,https://www.diariomayor.cl/images/lagarto_ok.jpg,https://news.google.com/api/attachments/CC8iK0NnNUdkMWxSV1dFeFNpMXZiRkp3VFJEQkF4aXFCU2dLTWdhQlVvZ3hvUWc,"11/21/2025, 08:00 AM, +0000 UTC",2025-11-21T08:00:00Z
4,"Especies en riesgo: pingüino de Humboldt, lagarto de Álvaro y plantas de Juan Fernández en alerta",El Mostrador,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2025/10/28/especies-en-riesgo-pinguino-de-humboldt-lagarto-de-alvaro-y-plantas-de-juan-fernandez-en-alerta/,https://media-front.elmostrador.cl/2025/10/Editar-imagenes-2-16-700x350.png,https://news.google.com/api/attachments/CC8iK0NnNWtXRlJ0T0RGM2MwSlBNMHRTVFJEZUFoaThCU2dLTWdZZE1JUUxvZ2c,"10/28/2025, 07:00 AM, +0000 UTC",2025-10-28T07:00:00Z
5,Pingüino de Humboldt y lagarto gruñidor en peligro,Diario Sustentable,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diariosustentable.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diariosustentable.com/2025/10/pinguino-de-humboldt-lagarto-grunidor-y-plantas-endemicas-de-juan-fernandez-aumentan-su-riesgo-de-extincion-en-chile/,https://i0.wp.com/www.diariosustentable.com/wp-content/uploads/2025/10/P.-DE-HUMBOLDT-4.jpg?fit=800%2C534&ssl=1&resize=350%2C200,https://news.google.com/api/attachments/CC8iNkNnNWlZVEE1VWs4MGJXSldWRk50VFJESUFSamVBaWdLTWc0QkFJUmp0V05UYXhxWnNWYlZGZw,"10/21/2025, 07:00 AM, +0000 UTC",2025-10-21T07:00:00Z
6,Académicos U. Mayor solicitaron aumentar la categoría de amenaza del Lagarto Gruñido de Álvaro,Diario Mayor,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.diariomayor.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diariomayor.cl/creando-universidad/academicos/academicos-u-mayor-solicitaron-aumentar-la-categoria-de-amenaza-del-lagarto-grunido-de-alvaro,https://www.diariomayor.cl/images/lagarto.jpg,https://news.google.com/api/attachments/CC8iJ0NnNWtTRXhxWmt4VVl6RmxZak5PVFJEQkF4aXFCU2dLTWdNQmZSWQ,"09/13/2023, 07:00 AM, +0000 UTC",2023-09-13T07:00:00Z
7,"Una de cada cinco especies de reptiles está amenazada de extinción a nivel mundial, de acuerdo a un reciente estudio",Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/una-de-cada-cinco-especies-de-reptiles-esta-amenazada-de-extincion-a-nivel-mundial-de-acuerdo-a-reciente-estudio/,https://laderasur.com/wp-content/uploads/2022/05/pristidactylus-alvaroi-yamil-hussein.jpg,https://news.google.com/api/attachments/CC8iK0NnNVhVMGxpVG5oeFVreFBiREZpVFJEcUF4anlCQ2dLTWdZVmc0VHJ4UU0,"07/03/2022, 03:09 AM, +0000 UTC",2022-07-03T03:09:19Z
8,Incendios forestales en Altos de Chicauma ponen en peligro el hábitat del gruñidor de Álvaro,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/incendios-forestales-en-altos-de-chicauma-ponen-en-peligro-el-habitat-del-grunidor-de-alvaro/,https://laderasur.com/wp-content/uploads/2023/01/grunidor-de-alvaro-pristidactylus-alvaroi-en-altos-de-chicauma-c-rodrigo-verdugo-4-1024x698.jpeg,https://news.google.com/api/attachments/CC8iL0NnNTZWV05UTkd4U1gxbE5OM0ZHVFJESkF4aWZCU2dLTWdtUkE0d0psaWVpY1FF,"01/04/2023, 11:03 AM, +0000 UTC",2023-01-04T11:03:24Z
9,Lagartos gruñidores en peligro de extinción tendrán nuevo plan de conservación en Chile Central,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://laderasur.com/articulo/lagartos-grunidores-en-peligro-de-extincion-tendran-nuevo-plan-de-conservacion-en-chile-central/,https://laderasur.com/wp-content/uploads/2021/07/grunidor-de-alvaro-cyamil-hussein-portada.jpg,https://news.google.com/api/attachments/CC8iK0NnNWZWbU53V0dWYVZHaHNlVEZDVFJEREF4aW9CU2dLTWdZZFJJQXJJZ2s,"07/19/2021, 07:00 AM, +0000 UTC",2021-07-19T07:00:00Z
