REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Juan Fernández;Aguilucho de Más Afuera, aguilucho de Juan Fernández, blindado;Geranoaetus polyosoma exsul;Animalia;Aves;Sí;CR
Juan Fernández;Caracol terrestre Omalonyx;Omalonyx gayana;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Punctum;Punctum conicum;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Punctum;Punctum depressum;Animalia;Gastropoda;Sí;CR
Juan Fernández;Picaflor de Juan Fernández;Sephanoides fernandensis;Animalia;Aves;Sí;CR
Juan Fernández;Mosco de Juan Fernández, mosco de rostro dorado;Sterphus aurifrons;Animalia;Insecta;Sí;CR
Juan Fernández;caracol terrestre Succinea;Succinea cryptica;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Succinea;Succinea cumingi;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Succinea;Succinea fernandi;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Succinea;Succinea masafuerae;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Succinea;Succinea rubicunda;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Succinea;Succinea semiglobosa;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Succinea;Succinea texta;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Tornatellina;Tornatellina aperta;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Tornatellina;Tornatellina bilamellata;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Tornatellina;Tornatellina callosa;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Tornatellina;Tornatellina plicosa;Animalia;Gastropoda;Sí;CR
Juan Fernández;Caracol terrestre Tornatellina;Tornatellina reclusiana;Animalia;Gastropoda;Sí;CR
Desventuradas;Caracol;Ambrosiella kuscheli;Animalia;Gastropoda;Sí;CR
Desventuradas;Seudoescorpión;Anaperochernes ambrosianus;Animalia;Arachnida;Sí;CR
Desventuradas;Seudoescorpión;Chelanops pugil;Animalia;Arachnida;Sí;CR
