REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
Coquimbo (IV);Balita, insecto joya de Leech;Conognatha leechi;Animalia;Insecta;Sí;EN
Coquimbo (IV);No conocido;Henicotherus francisca;Animalia;Insecta;Sí;EN
Coquimbo (IV);Camarón almeja de Huentelauquén;Lynceus huentelauquensis;Animalia;Branchiopoda;Sí;EN
Coquimbo (IV);Tenebrio de Mannerheim, teatino de Mannerheim;Nycterinus mannerheimi;Animalia;Insecta;Sí;EN
Coquimbo (IV);;Oogenius castilloi;Animalia;Insecta;Sí;EN
Coquimbo (IV);Matuasto de Bibron;Phymaturus bibronii;Animalia;Reptilia;Sí;EN
Coquimbo (IV);Vaquita;Praocis aenea;Animalia;Insecta;Sí;EN
Coquimbo (IV);Vaquita del bicentenario;Praocis bicentenario;Animalia;Insecta;Sí;EN
Valparaíso continental (V);Piñacha, pancora, pancora de Papudo;Aegla papudo ;Animalia;Malacostraca;Sí;CR
Valparaíso continental (V);Sierra del Orocoipo;Callisphyris ficheti;Animalia;Insecta;Sí;CR
Valparaíso continental (V);Tarántula enana, araña pollito;Euathlus parvulus;Animalia;Arachnida;Sí;CR
Valparaíso continental (V);Matuasto de Alicahue;Phymaturus alicahuense;Animalia;Reptilia;Sí;CR
Valparaíso continental (V);Lagarto gruñidor de Álvaro;Pristidactylus alvaroi;Animalia;Reptilia;Sí;CR
Valparaíso continental (V);Pancora;Aegla laevis;Animalia;Malacostraca;Sí;EN
Valparaíso continental (V);Pancora;Aegla papudo;Animalia;Malacostraca;Sí;EN
Valparaíso continental (V);Cascarudo de Las Docas;Callyntra multicosta;Animalia;Insecta;Sí;EN
Valparaíso continental (V);;Cnemalobus hirsutus;Animalia;Insecta;Sí;EN
Valparaíso continental (V);Balita, insecto joya de Fisher;Conognatha azarae fisheri;Animalia;Insecta;Sí;EN
Valparaíso continental (V);Tollo de agua dulce;Diplomystes chilensis;Animalia;Actinopterygii;Sí;EN-RARA
Valparaíso continental (V);Lagarto leopardo;Liolaemus leopardinus;Animalia;Reptilia;Sí;EN
Valparaíso continental (V);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Valparaíso continental (V);Gusano aterciopelado, onicóforo (genérico);Paropisthopatus umbrinus;Animalia;Udeonycophora;Sí;EN
Valparaíso continental (V);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Valparaíso continental (V);Matuasto de Darwin, lagarto de cola gruesa;Phymaturus darwini;Animalia;Reptilia;Sí;EN
Valparaíso continental (V);Gruñidor de Valeria;Pristidactylus valeriae;Animalia;Reptilia;Sí;EN
Metropolitana (RM);Piñacha, pancora, pancora de Papudo;Aegla papudo ;Animalia;Malacostraca;Sí;CR
Metropolitana (RM);Sapo de pecho espinoso de Potrero;Alsodes laevis;Animalia;Amphibia;Sí;CR
Metropolitana (RM);Araña pollito, tarántula;Euathlus condorito;Animalia;Arachnida;Sí;CR
Metropolitana (RM);Escama  gigante de palma chilena;Palmaspis jubae;Animalia;Insecta;Sí;CR
Metropolitana (RM);Lagarto gruñidor de Álvaro;Pristidactylus alvaroi;Animalia;Reptilia;Sí;CR
Metropolitana (RM);Pancora;Aegla laevis;Animalia;Malacostraca;Sí;EN
Metropolitana (RM);Pancora;Aegla papudo;Animalia;Malacostraca;Sí;EN
Metropolitana (RM);Sapo;Alsodes cantillanensis;Animalia;Amphibia;Sí;EN
Metropolitana (RM);Sapo de monte;Alsodes montanus;Animalia;Amphibia;Sí;EN-RARA
