REGIÓN;NOMBRE COMÚN;NOMBRE CIENTÍFICO;REINO;CLASE;ENDÉMICA respecto de Chile;CATEGORÍA VIGENTE
O'Higgins (VI);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
O'Higgins (VI);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
O'Higgins (VI);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Maule (VII);Pancora;Aegla laevis;Animalia;Malacostraca;Sí;EN
Maule (VII);Sapo de Vanzolini;Alsodes vanzolinii;Animalia;Amphibia;Sí;EN-RARA
Maule (VII);Escarabajo;Bolborhinum trilobulicorne;Animalia;Insecta;Sí;EN
Maule (VII);Cascarudo de la Plata;Callyntra planiuscula;Animalia;Insecta;Sí;EN
Maule (VII);Ranita de Los Queules;Eupsophus septentrionalis;Animalia;Amphibia;Sí;EN
Maule (VII);Tarántula enana de penacho amarillo, araña pollito;Homoeomma orellanai;Animalia;Arachnida;Sí;EN
Maule (VII);Lagartija de Garín;Liolaemus carlosgarini;Animalia;Reptilia;Sí;EN
Maule (VII);Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Liolaemus septentrionalis;Animalia;Reptilia;Sí;EN
Maule (VII);Lagartija del Azufre;Liolaemus thermarum;Animalia;Reptilia;Sí;EN
Maule (VII);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Maule (VII);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
Maule (VII);"No tiene, se propone ""pulgón del Ruíl""";Neuquenaphis staryi;Animalia;Insecta;Sí;EN
Maule (VII);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Maule (VII);Matuasto;Phymaturus maulense;Animalia;Reptilia;Sí;EN
Maule (VII);Caracol de árbol araucano, caracol de árbol;Plectostylus araucanus;Animalia;Gastropoda;Sí;EN
Maule (VII);Rana montana de Los Queules;Telmatobufo ignotus;Animalia;Amphibia;Sí;EN
Maule (VII);Sapo hermoso;Telmatobufo venustus;Animalia;Amphibia;Sí;EN
Ñuble (XVI);Pancora;Aegla concepcionensis;Animalia;Malacostraca;Sí;EN
Ñuble  (XVI);Pancora;Aegla laevis;Animalia;Malacostraca;Sí;EN
Ñuble  (XVI);Bagrecito;Bullockia maldonadoi;Animalia;Actinopterygii;Sí;EN
Ñuble  (XVI);Cascarudo de la Plata;Callyntra planiuscula;Animalia;Insecta;Sí;EN
Ñuble  (XVI);Borrachito de Tolhuaca, borrachito listado de Tolhuaca;Erichius virgatus;Animalia;Insecta;Sí;EN
Ñuble  (XVI);Lagartija pintada septentrional, Northern Painted Lizard (Inglés);Liolaemus septentrionalis;Animalia;Reptilia;Sí;EN
Ñuble  (XVI);Lamprea de agua dulce;Mordacia lapicida;Animalia;Cephalaspidomorphi;Sí;EN
Ñuble  (XVI);Bagre grande;Nematogenys inermis;Animalia;Actinopterygii;Sí;EN
Ñuble  (XVI);Carmelita;Percilia gillissi;Animalia;Actinopterygii;Sí;EN
Ñuble  (XVI);Caracol de árbol araucano, caracol de árbol;Plectostylus araucanus;Animalia;Gastropoda;Sí;EN
Ñuble  (XVI);Sapo hermoso;Telmatobufo venustus;Animalia;Amphibia;Sí;EN
