position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date
1,Leopardo. Lagartija leopardo.,Museo Nacional de Historia Natural,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.mnhn.gob.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.mnhn.gob.cl/noticias/leopardo-lagartija-leopardo,https://www.mnhn.gob.cl/sites/www.mnhn.gob.cl/files/styles/16x9_grande/public/2021-04/Lagartija%20leopardo.jpg?h=434fda7c&itok=vD9AfpAV,https://news.google.com/api/attachments/CC8iJ0NnNWhTSEYxVUhrMlRXSjBZVWhJVFJEUkFoallCQ2dLTWdPSkJSUQ,"01/28/2011, 08:00 AM, +0000 UTC",2011-01-28T08:00:00Z
2,Distribución histórica y actual de la lagartija Liolaemus pictus (Dumeril & Bibron 1837) (Liolaemidae) y nuevo límite continental sur de distribución,SciELO Chile,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.scielo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382010000200008,https://www.scielo.cl/fbpe/img/gayana/v74n2/art08_f1.jpg,https://news.google.com/api/attachments/CC8iMkNnNVBWVmQ1Y1VaaFFVMXVkblZHVFJDNUJSanhBaWdLTWdzZFU0aXNMV1JVcUtyb1BB,"05/21/2021, 05:51 AM, +0000 UTC",2021-05-21T05:51:42Z
3,"Puma, huemul, chinchilla y más: Estas son los animales de la fauna chilena que se encuentran en peligro",romantica.cl,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.romantica.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.romantica.cl/nacional/2023/01/04/puma-huemul-chinchilla-y-mas-estas-son-los-animales-de-la-fauna-chilena-que-se-encuentran-en-peligro.html,https://assets.megamediaradios.fm/sites/3/2023/01/Diseno-sin-titulo-90-974x547.png,https://news.google.com/api/attachments/CC8iK0NnNTVaMlpvZUdKdk9FaDZZVkI1VFJDZkF4ampCU2dLTWdZQlVKSllNQVk,"01/04/2023, 08:00 AM, +0000 UTC",2023-01-04T08:00:00Z
