position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date
1,Archipiélago de Juan Fernández ya cuenta con un plan para proteger a sus aves terrestres,País Circular,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.paiscircular.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.paiscircular.cl/medio-ambiente/archipielago-de-juan-fernandez-ya-cuenta-con-un-plan-para-proteger-a-sus-aves-terrestres/,https://www.paiscircular.cl/wp-content/uploads/2022/08/Opcion-1-Picaflor-Macho_Credito-Oikonos-1024x675.jpg,https://news.google.com/api/attachments/CC8iK0NnNXRiRWRSZUZVMFRWQkJkRFZyVFJEQ0F4aXFCU2dLTWdhQkZJUm9KZ28,"08/17/2022, 07:00 AM, +0000 UTC",2022-08-17T07:00:00Z
2,Plan para proteger aves endémicas de Juan Fernández no contempla la eutanasia de gatos asilvestrados,MMA – Ministerio del Medio Ambiente,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://mma.gob.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://mma.gob.cl/plan-para-proteger-aves-endemicas-de-juan-fernandez-no-contempla-la-eutanasia-de-gatos-asilvestrados/,https://mma.gob.cl/wp-content/uploads/2022/08/Opcion-2-Picaflor-Macho_Credito-Oikonos-1500x936.jpg,https://news.google.com/api/attachments/CC8iK0NnNUJiMUZoU0dGNFNVNTZlVU0zVFJDMUF4aTlCU2dLTWdhUlY0aHBKZ2c,"08/12/2022, 07:00 AM, +0000 UTC",2022-08-12T07:00:00Z
3,Julio E. Rodriguez siempre soñó con ponerse el uniforme aguilucho,aguilas.com.do,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://aguilas.com.do&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://aguilas.com.do/julio-e-rodriguez-siempre-sono-con-ponerse-el-uniforme-aguilucho/,https://aguilas.com.do/wp-content/uploads/2021/10/JulioRodriguez-A%CC%81guilas.jpg,https://news.google.com/api/attachments/CC8iK0NnNWFkSHBpTldJNVFqQm1WRk5xVFJERUF4aW1CU2dLTWdhdFZJaVBJUWc,"10/06/2021, 07:00 AM, +0000 UTC",2021-10-06T07:00:00Z
