position,title,source/name,source/icon,source/authors/0,link,thumbnail,thumbnail_small,date,iso_date
1,Chile: Gobierno frena protección del pingüino de Humboldt,dw.com,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.dw.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Judit Alonso,https://www.dw.com/es/chile-nuevo-gobierno-frena-protecci%C3%B3n-del-ping%C3%BCino-de-humboldt/a-76420241,https://static.dw.com/image/76420339_804.jpg,https://news.google.com/api/attachments/CC8iK0NnNVBWRlpPUkZCVVIwRXhOa052VFJDcUJCaXFCQ2dLTWdZQmNJeVlKQWs,"03/18/2026, 07:00 AM, +0000 UTC",2026-03-18T07:00:00Z
2,No hay tiempo que perder: comunidad científica pide reactivar decreto retirado por Kast para proteger al pingüino de Humboldt,elciudadano.com,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.elciudadano.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.elciudadano.com/chile/proteccion-pinguino-humboldt-decreto-kast/04/21/,https://www.elciudadano.com/wp-content/uploads/2026/04/proteccion-del-pinguino-de-Humboldt-1-1-640x480.jpg,https://news.google.com/api/attachments/CC8iK0NnNHhTa1p6VUZwSVJVbzFVVkJmVFJEZ0F4aUFCU2dLTWdZWlFZenRJUWc,"04/21/2026, 04:11 PM, +0000 UTC",2026-04-21T16:11:53Z
3,Consejo de Ministros declara al pingüino de Humboldt como Monumento Natural para aumentar su protección,MMA – Ministerio del Medio Ambiente,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://mma.gob.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://mma.gob.cl/consejo-de-ministros-declara-al-pinguino-de-humboldt-como-monumento-natural-para-aumentar-su-proteccion/,https://mma.gob.cl/wp-content/uploads/2026/02/P-de-Humboldt-J.-Herreros-600x398.jpg,https://news.google.com/api/attachments/CC8iJ0NnNUZSell6WTFsd04xRm5hSFZpVFJDT0F4allCQ2dLTWdNQmdCUQ,"03/08/2026, 08:00 AM, +0000 UTC",2026-03-08T08:00:00Z
4,Pingüino de Humboldt: la caída que encendió una campaña cientifico-ciudadana en Chile,Meteored Chile,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.meteored.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.meteored.cl/noticias/actualidad/pinguino-de-humboldt-la-caida-que-encendio-una-campana-cientifico-ciudadana-en-chile.html,https://services.meteored.com/img/article/pinguino-de-humboldt-la-caida-que-encendio-una-campana-cientifico-ciudadana-en-chile-1776527829021_512.jpg,https://news.google.com/api/attachments/CC8iK0NnNVRObWhwUTI1NlVXdDFka2R0VFJDbEFoaUFCQ2dLTWdhMVFaYlRvQWc,"04/18/2026, 10:38 PM, +0000 UTC",2026-04-18T22:38:00Z
5,"Bucea como un profesional, pero tiene el corazón frágil: los 4 datos sobre el pingüino de Humboldt",nationalgeographicla.com,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.nationalgeographicla.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.nationalgeographicla.com/animales/2026/01/bucea-como-un-profesional-pero-tiene-el-corazon-fragil-los-4-datos-sobre-el-pinguino-de-humboldt,https://static.nationalgeographicla.com/files/styles/image_3200/public/medium.webp?w=1600&h=1072,https://news.google.com/api/attachments/CC8iK0NnNUxZM2h1TjBZNWVVWkNXVVZTVFJERkF4aWxCU2dLTWdZQklKUmpLQWc,"01/19/2026, 08:00 AM, +0000 UTC",2026-01-19T08:00:00Z
6,Pingüino de Humboldt en peligro de extinción: el 80% de la población mundial de esta especie habita en Chile.,greenpeace.org,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.greenpeace.org&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.greenpeace.org/chile/noticia/issues/oceanos/pinguino-de-humboldt-en-peligro-de-extincion-el-80-de-la-poblacion-mundial-de-esta-especie-habita-en-chile/,https://www.greenpeace.org/static/planet4-chile-stateless/2025/01/db2944b4-pinguinos-de-humboldt-humboldt-%C2%A9-cesar-villarroel-_-greenpeace-.jpg,https://news.google.com/api/attachments/CC8iK0NnNVpjREowZGxOSVMzZzFRVzlsVFJERUF4aW1CU2dLTWdhVmtvN3B0UVk,"10/24/2025, 07:00 AM, +0000 UTC",2025-10-24T07:00:00Z
7,Día Mundial del Pingüino: campaña alerta sobre crisis del Pingüino de Humboldt,elobservatodo.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.elobservatodo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.elobservatodo.cl/noticia/medioambiente/dia-mundial-del-pingueino-campana-alerta-sobre-crisis-del-pingueino-de-humbold,https://cdn.elobservatodo.cl/sites/elobservatodo.cl/files/imagecache/380x285/imagen_noticia/sube_tu_foto_con_un_cartel_y_el_mensaje_salvemosalpinguinodehumboldt_y_estaras_participando_de_unos_premios.png,https://news.google.com/api/attachments/CC8iI0NnNWZUM3BSVlZGRGEwMVdUV05UVFJDOUFSaUtBaWdCTWdB,"04/21/2026, 12:56 AM, +0000 UTC",2026-04-21T00:56:50Z
8,Juntan firmas para que el pingüino de Humboldt sea monumento natural: Piden reingresar decreto,El Desconcierto,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://eldesconcierto.cl/medio-ambiente/juntan-firmas-que-el-pinguino-humboldt-sea-monumento-natural-piden-reingresar-decreto-n5457860,https://media.eldesconcierto.cl/p/ac42e1393d7bf95d55f5492dc5850882/adjuntos/378/imagenes/100/126/0100126377/1200x675/717x538:737x558/a_uno_1231703.jpg,https://news.google.com/api/attachments/CC8iK0NnNWtVVWt3Y1RaWlRtVlFkV1ZZVFJDZkF4ampCU2dLTWdhQk1ZaEV5UU0,"04/07/2026, 07:00 AM, +0000 UTC",2026-04-07T07:00:00Z
9,Chile inicia proceso para declarar Monumento Natural al pingüino de Humboldt,ELPINGUINO.COM,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://elpinguino.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://elpinguino.com/noticia/2026/01/23/chile-inicia-proceso-para-declarar-monumento-natural-al-pinguino-de-humboldt,https://elpinguino.com/uploads/images/large/9f75013cff13efbfd5a2bd123c4a0576.jpg,https://news.google.com/api/attachments/CC8iK0NnNXZTRlZyZGxOTFZFbE1iVWcwVFJEU0F4aVRCU2dLTWdhWlVaZ05MUWc,"01/23/2026, 08:00 AM, +0000 UTC",2026-01-23T08:00:00Z
10,Lanzan campaña para que vuelva a Contraloría la declaración del pingüino de Humboldt como Monumento Natural,Fundación Terram,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.terram.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.terram.cl/lanzan-campana-para-que-vuelva-a-contraloria-la-declaracion-del-pinguino-de-humboldt-como-monumento-natural/,https://www.terram.cl/wp-content/uploads/2026/04/images-7.jpg,https://news.google.com/api/attachments/CC8iI0NnNDViSGhYYzNwbmFFOUliV2gwVFJDckFSaW5BaWdLTWdB,"04/07/2026, 03:04 PM, +0000 UTC",2026-04-07T15:04:24Z
11,Reactivan permiso ambiental de Dominga mientras crece incertidumbre por protección del pingüino de Humboldt,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://laderasur.com/articulo/reactivan-permiso-ambiental-de-dominga-mientras-crece-incertidumbre-por-proteccion-del-pinguino-de-humboldt/,https://laderasur.com/wp-content/uploads/2024/12/archipielago-de-humboldt-1024x576.jpeg,https://news.google.com/api/attachments/CC8iK0NnNDRUSFJWUTFCNE1FSm1RbU5PVFJDZkF4ampCU2dLTWdZUmdJeXF1UVE,"03/21/2026, 07:00 AM, +0000 UTC",2026-03-21T07:00:00Z
12,Declaran al pingüino de Humboldt como Monumento Natural de especie en todo Chile,Universidad de Chile,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://radio.uchile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://radio.uchile.cl/2026/02/14/declaran-al-pinguino-de-humboldt-como-monumento-natural-de-especie-en-todo-chile/,https://radio.uchile.cl/wp-content/uploads/2026/02/Ping%C3%BCino-de-Humboldt.jpg,https://news.google.com/api/attachments/CC8iJ0NnNXNMV0ZUYzFwRVNXeFZaMEl4VFJEREF4aW5CU2dLTWdNQmdCUQ,"02/14/2026, 08:00 AM, +0000 UTC",2026-02-14T08:00:00Z
13,Pingüino de Humboldt ya es Monumento Natural en Chile,Identidad y Futuro,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://identidadyfuturo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://identidadyfuturo.cl/2026/03/12/pinguino-de-humboldt-monumento-natural-chile/,https://identidadyfuturo.cl/wp-content/uploads/2026/03/Pinguino-de-Humboldt.jpg.webp,https://news.google.com/api/attachments/CC8iK0NnNVhPRFZmWTFWeVRsbDVaMDFYVFJDcUJCaXFCQ2dLTWdZTkVZam9rQW8,"03/12/2026, 07:00 AM, +0000 UTC",2026-03-12T07:00:00Z
