position,title,source/name,source/icon,source/authors/0,link,thumbnail,thumbnail_small,date,iso_date
11,Guardabosques chilenos y Zoólogico de Londres buscan salvar a la ranita de Darwin de la extinción,ADN Radio,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.adnradio.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.adnradio.cl/2026/02/23/guardabosques-chilenos-y-zoologico-de-londres-buscan-salvar-a-la-ranita-de-darwin-de-la-extincion/,https://www.adnradio.cl/resizer/v2/ME3VV3JG3BHZ5OGFRVTQNGPOGA.jpg?auth=eeac166c55e9edb7cb56c5203a11d362cababdd39f0434634c321baba0354ba9&width=1200&height=900&quality=70&smart=true,https://news.google.com/api/attachments/CC8iI0NnNWtSbUo0ZWtkMUxWUlRiV2xFVFJEZ0F4aUFCU2dLTWdB,"02/23/2026, 08:00 AM, +0000 UTC",2026-02-23T08:00:00Z
12,Científico chileno lidera estudio que revela cómo un hongo letal está extinguiendo a la ranita de Darwin,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.cooperativaciencia.cl/medio-ambiente/2026/01/02/cientifico-chileno-lidera-estudio-que-revela-como-un-hongo-letal-esta-extinguiendo-a-la-ranita-de-darwin/,https://www.cooperativaciencia.cl/wp-content/uploads/2026/01/Andre%CC%81s-Valenzuela-y-Ranita-de-Darwin-%C2%A9-ONG-Ranita-de-Darwin-768x512.jpg,https://news.google.com/api/attachments/CC8iK0NnNWtObnBUY21GeFpHZzNMVXBKVFJERUF4aW1CU2dLTWdZdEpvak9GUW8,"01/02/2026, 08:00 AM, +0000 UTC",2026-01-02T08:00:00Z
13,Investigación chilena descubre cómo un hongo invasivo provoca epidemias letales en anfibios terrestres,BioBioChile,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.biobiochile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2026/01/26/investigacion-chilena-descubre-como-un-hongo-invasivo-provoca-epidemias-letales-en-anfibios-terrestres.shtml,https://media.biobiochile.cl/wp-content/uploads/2026/01/hongo-letal-en-anfibios-terrestres.png,https://news.google.com/api/attachments/CC8iL0NnNVlVbHBNYjBkUE5WWlRNR2hKVFJDU0F4ajdCU2dLTWdrQmNJYk93Q1JGTEFJ,"01/26/2026, 08:00 AM, +0000 UTC",2026-01-26T08:00:00Z
14,Las 5 amenazas que enfrenta la ranita de Darwin: Conoce el nuevo plan del gobierno para salvarla de la extinción,El Desconcierto,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://eldesconcierto.cl/2025/07/25/las-5-amenazas-que-enfrenta-la-ranita-de-darwin-conoce-el-nuevo-plan-del-gobierno-para-salvarla-de-la-extincion,https://media.eldesconcierto.cl/p/1cbc81d9165d974045e64441f508707e/adjuntos/378/imagenes/100/007/0100007171/1200x675/smart/19717-diseno-titulo-2025-07-25t161928webp.webp,https://news.google.com/api/attachments/CC8iK0NnNVBRbEJEUW5VNWNVZDJZMDlwVFJDZkF4ampCU2dLTWdhQm80aHV1UVU,"07/24/2025, 07:00 AM, +0000 UTC",2025-07-24T07:00:00Z
15,Alianza en la Reserva Biológica Huilo Huilo busca proteger a la ranita de Darwin de la extinción,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.cooperativaciencia.cl/medio-ambiente/2026/02/05/alianza-en-la-reserva-biologica-huilo-huilo-busca-proteger-a-la-ranita-de-darwin-de-la-extincion/,https://www.cooperativaciencia.cl/wp-content/uploads/2026/02/Ranita4-768x511.jpg,https://news.google.com/api/attachments/CC8iI0NnNUNWVXd5VkVKak1XVTFjV1Z2VFJERUF4aW5CU2dLTWdB,"02/05/2026, 08:00 AM, +0000 UTC",2026-02-05T08:00:00Z
16,Aprueban inédito plan de conservación para salvar a la Ranita de Darwin de la extinción,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.cooperativaciencia.cl/medio-ambiente/2025/07/25/aprueban-inedito-plan-de-conservacion-para-salvar-a-la-ranita-de-darwin-de-la-extincion/,https://www.cooperativaciencia.cl/wp-content/uploads/2025/07/A-Darwins-frog-female-from-Southern-Chile-credits-ONG-Ranita-de-Darwin-768x512.jpg,https://news.google.com/api/attachments/CC8iK0NnNVdXa3N0YzBGaWVqZG5ORU16VFJERUF4aW1CU2dLTWdZUlFvQ3IwUUk,"07/25/2025, 07:00 AM, +0000 UTC",2025-07-25T07:00:00Z
17,Descubren nueva población de Ranita de Darwin en Villarrica,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.cooperativaciencia.cl/medio-ambiente/2025/09/25/descubren-nueva-poblacion-de-ranita-de-darwin-en-villarrica/,https://www.cooperativaciencia.cl/wp-content/uploads/2025/09/9a1a89_f56615b1212c48ab949dc227b650d422mv2-e1758806557923-720x385.jpg,https://news.google.com/api/attachments/CC8iK0NnNWhiWGM1T1c5MVFXRldTekJUVFJDQkF4alFCU2dLTWdhQlU0aXJMUVU,"09/25/2025, 07:00 AM, +0000 UTC",2025-09-25T07:00:00Z
18,"Chile y Argentina refuerzan la protección de la ranita de Darwin, una especie al borde de la extinción",Diario Río Negro,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.rionegro.com.ar&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.rionegro.com.ar/sociedad/chile-y-argentina-refuerzan-la-proteccion-de-la-ranita-de-darwin-una-especie-al-borde-de-la-extincion/,"https://www.rionegro.com.ar/wp-content/uploads/2026/02/00-RANITA.jpg?w=1200&h=630&crop=1&resize=1200,630",https://news.google.com/api/attachments/CC8iJ0NnNUxUVkpNVTFRMWIwWkJkRWszVFJDUkF4ajhCU2dLTWdNQmtBWQ,"02/18/2026, 08:00 AM, +0000 UTC",2026-02-18T08:00:00Z
19,"Aprueban ""Plan de Recuperación, Conservación y Gestión"" que evitaría la extinción de la ranita de Darwin",Sabes.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://sabes.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://sabes.cl/2025/08/01/aprueban-plan-de-recuperacion-conservacion-y-gestion-que-evitaria-la-extincion-de-la-ranita-de-darwin/,https://assets.ondapress.com/sabescl/2025/08/diseno-sin-titulo-2025-08-011754085780-1200x630.jpg,https://news.google.com/api/attachments/CC8iI0NnNUlXbXhXUmtzeFVWRXlSMjUyVFJDUkF4ajhCU2dLTWdB,"08/01/2025, 07:00 AM, +0000 UTC",2025-08-01T07:00:00Z
20,Hongo quítrido: la pandemia silenciosa que amenaza a la ranita de Darwin en Chile,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.cooperativaciencia.cl/medio-ambiente/2025/05/19/hongo-quitrido-la-pandemia-silenciosa-que-amenaza-a-la-ranita-de-darwin-en-chile/,https://www.cooperativaciencia.cl/wp-content/uploads/2025/05/Foto-2-c-ZSL-London-Zoo-1-720x405.jpg,https://news.google.com/api/attachments/CC8iK0NnNVZkMU14ZGpsUmJXTlVTa055VFJDVkF4alFCU2dLTWdZQnBJeU92UVU,"05/19/2025, 07:00 AM, +0000 UTC",2025-05-19T07:00:00Z
