position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
1,Nuevo avistamiento: Captan impresionantes imágenes del gato colocolo en Chile,megatiempo.cl,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.megatiempo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.megatiempo.cl/noticias/11159-gato-colocolo-avistamiento-fotos-habitat-1ab.html,https://images2-mega.cdn.mdstrm.com/megatiempo/2026/03/30/11159_1_69cafb798716a.jpg?d=1200x675,https://news.google.com/api/attachments/CC8iK0NnNHlha3AzYWtGQ1RHSlNka2MzVFJDZkF4ampCU2dLTWdhbFpaRE5xUWM,"04/02/2026, 07:00 AM, +0000 UTC",2026-04-02T07:00:00Z,
2,Sorpresa en Lo Barnechea: registran al elusivo Gato Colocolo en inédito monitoreo,Lo Barnechea,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://lobarnechea.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://lobarnechea.cl/Noticias/sorpresa-en-lo-barnechea-registran-al-elusivo-gato-colocolo-en-inedito-monitoreo/,https://lobarnechea.cl/wp-content/uploads/2025/05/03160477-colo-scaled.jpg,https://news.google.com/api/attachments/CC8iK0NnNHlRall6VWtoUE9EaHJOM1p4VFJDZkF4ampCU2dLTWdZVmM0U0tzUVE,"05/14/2025, 07:00 AM, +0000 UTC",2025-05-14T07:00:00Z,
3,VIDEO| Captan a gato colocolo al interior de jardín de una vivienda en sector urbano de Papudo,El Desconcierto,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eldesconcierto.cl/2025/09/11/video-captan-a-gato-colocolo-al-interior-de-jardin-de-una-vivienda-en-sector-urbano-de-papudo,,,"09/11/2025, 07:00 AM, +0000 UTC",2025-09-11T07:00:00Z,Nicole Farias Donoso
4,Inédito avistamiento de gato colocolo en Papudo,Marga Marga TV,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://margamargatv.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://margamargatv.cl/inedito-avistamiento-de-gato-colocolo-en-papudo/,https://margamargatv.cl/wp-content/uploads/2025/09/Captura-de-pantalla-2025-09-12-a-las-8.58.49-a.m-860x667.png.webp,https://news.google.com/api/attachments/CC8iK0NnNVhialZyV1hSMGRrUTBTSEk0VFJEb0F4ajFCQ2dLTWdZbFpJNk90UVk,"09/12/2025, 12:11 PM, +0000 UTC",2025-09-12T12:11:52Z,
5,Captan a tierno gato Colocolo en el jardín de una casa de Papudo,Cooperativa.cl,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cooperativa.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cooperativa.cl/noticias/pais/region-de-valparaiso/captan-a-tierno-gato-colocolo-en-el-jardin-de-una-casa-de-papudo/2025-09-12/115458.html,https://www.cooperativa.cl/noticias/site/artic/20250912/imag/foto_0000000120250912115458.jpg,https://news.google.com/api/attachments/CC8iL0NnNXpOMFpWT0V0TlVHcGlXRWt0VFJDZkF4amlCU2dLTWdrQllZN1RQR1c1S1FJ,"09/12/2025, 07:00 AM, +0000 UTC",2025-09-12T07:00:00Z,
6,Sorpresa en Papudo: gato colocolo descansa en el jardín de una vivienda,diarioeldia.cl,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diarioeldia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.diarioeldia.cl/noticias/2025/09/14/128511-sorpresa-en-papudo-gato-colocolo-descansa-en-el-jardin-de-una-vivienda,https://diarioeldia-s3.cdn.net.ar/s3i233/2025/09/diarioeldia/images/02/27/50/2275074_4fa15fde439c56db581db7545219d4eb94eef595516e850328cbd8c1aced7f1f/md.webp,https://news.google.com/api/attachments/CC8iK0NnNTVPVXMzY1hKVlRuQklWbWRCVFJEckJCanZBeWdLTWdZQlU0aU1vUWc,"09/14/2025, 07:00 AM, +0000 UTC",2025-09-14T07:00:00Z,
7,"Nuevos registros del gato colocolo, Leopardus colocolo colocolo (Carnivora: Felidae), en el desierto de Atacama, Región de Antofagasta, Norte Grande de Chile",SciELO Chile,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.scielo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.scielo.cl/scielo.php?script=sci_arttext&pid=S0717-65382015000200009,https://www.scielo.cl/fbpe/img/gayana/v79n2/art09_fig01.gif,https://news.google.com/api/attachments/CC8iK0NnNXNlbFZHUlhKMGNFaFFOREJ6VFJDN0FoalBBeWdLTWdhSmxJeXJ1UVU,"05/26/2021, 03:22 PM, +0000 UTC",2021-05-26T15:22:22Z,
8,SAG rescató a dos crías de gato Colocolo en Los Andes,Home | SAG,"https://encrypted-tbn0.gstatic.com/faviconV2?url=http://www.sag.gob.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",http://www.sag.gob.cl/noticias/sag-rescato-dos-crias-de-gato-colocolo-en-los-andes,https://www.sag.gob.cl/sites/default/files/styles/medium/public/field/image/20170522_113737.jpg?itok=0wGZVJjO,https://news.google.com/api/attachments/CC8iKkNnNUJVRFJZWmpKNVN6UTNObHAwVFJCOEdOd0JLQW95Qm9samxHV3BDQQ,"05/30/2017, 07:00 AM, +0000 UTC",2017-05-30T07:00:00Z,
9,Registran presencia del gato colocolo en la Reserva Natural Altos de Cantillana,El Mostrador,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.elmostrador.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.elmostrador.cl/cultura/2024/09/16/registran-presencia-del-gato-colocolo-en-la-reserva-natural-altos-de-cantillana/,https://media-front.elmostrador.cl/2024/09/Captura-de-Pantalla-2024-09-13-a-las-17.03.37-700x333.png,https://news.google.com/api/attachments/CC8iK0NnNUNhRkI1VDFOeWJtbE9VbGhIVFJETkFoaThCU2dLTWdZQm9ZUUdRZ1U,"09/16/2024, 07:00 AM, +0000 UTC",2024-09-16T07:00:00Z,
10,gato-colocolo,Chile es TUYO,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://chileestuyo.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://chileestuyo.cl/felinos-de-chile-los-reyes-de-la-fauna-terrestre/gato-colocolo/,https://chileestuyo.cl/wp-content/uploads/2021/11/gato-colocolo.jpg,https://news.google.com/api/attachments/CC8iK0NnNDRjVnBwVjBKRGVVZG9jV0pXVFJDcUJCaXFCQ2dLTWdhWmM1S01NUWM,"11/23/2021, 08:00 AM, +0000 UTC",2021-11-23T08:00:00Z,
