position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date
1,La Historia es Nuestra: La lagartija chilena que podría haber desaparecido en incendios forestales,Cooperativa.cl,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.cooperativa.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cooperativa.cl/noticias/pais/desastres-naturales/incendios-forestales/la-historia-es-nuestra-la-lagartija-chilena-que-podria-haber/2017-01-30/174443.html,https://www.cooperativa.cl/noticias/site/artic/20170130/imag/foto_0000001320170130174443.jpg,https://news.google.com/api/attachments/CC8iK0NnNUhja295VDNNM1YxUmtkblZvVFJEb0FoaUFCU2dLTWdZTm9JNklOUVk,"01/30/2017, 08:00 AM, +0000 UTC",2017-01-30T08:00:00Z
2,La flora y fauna después del incendio: El desafío de la restauración ecológica (El Heraldo),Centro de Ciencia del Clima y la Resiliencia,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.cr2.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cr2.cl/la-flora-y-fauna-despues-del-incendio-el-desafio-de-la-restauracion-ecologica-el-heraldo/,https://www.cr2.cl/wp-content/uploads/2017/02/Incendio-Navidad-TWT.jpg,https://news.google.com/api/attachments/CC8iK0NnNWpZVjlRU1RsdFpuRTFiazVwVFJDQkF4aUFCQ2dLTWdhbEU0RngzUUk,"02/05/2017, 08:00 AM, +0000 UTC",2017-02-05T08:00:00Z
3,"Puma, huemul, chinchilla y más: Estas son los animales de la fauna chilena que se encuentran en peligro",romantica.cl,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.romantica.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.romantica.cl/nacional/2023/01/04/puma-huemul-chinchilla-y-mas-estas-son-los-animales-de-la-fauna-chilena-que-se-encuentran-en-peligro.html,https://assets.megamediaradios.fm/sites/3/2023/01/Diseno-sin-titulo-90-974x547.png,https://news.google.com/api/attachments/CC8iK0NnNTVaMlpvZUdKdk9FaDZZVkI1VFJDZkF4ampCU2dLTWdZQlVKSllNQVk,"01/04/2023, 08:00 AM, +0000 UTC",2023-01-04T08:00:00Z
