position,title,source/name,source/icon,link,thumbnail,thumbnail_small,date,iso_date,source/authors/0
1,Investigadores redescubren a la rana de pecho espinoso de Malleco luego de 130 años sin ser avistada,Noticias UdeC,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://noticias.udec.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://noticias.udec.cl/investigadores-redescubren-a-la-rana-de-pecho-espinoso-de-malleco-luego-de-130-anos-sin-ser-avistada/,https://noticias.udec.cl/wp-content/uploads/2024/04/AvittatusJuvenil2024-1024x683.jpg,https://news.google.com/api/attachments/CC8iK0NnNHdUbkl5YzJGRE5UZG5aSEF4VFJERUF4aW1CU2dLTWdZSmdveUtNUVk,"04/22/2024, 07:00 AM, +0000 UTC",2024-04-22T07:00:00Z,
2,Tras 130 años redescubren rana de pecho espinoso de Malleco,Cooperativa Ciencia,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.cooperativaciencia.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.cooperativaciencia.cl/ciencia/2024/04/22/tras-130-anos-redescubren-rana-de-pecho-espinoso-de-malleco/,https://www.cooperativaciencia.cl/wp-content/uploads/2024/04/NOTA-RANITA-AvittatusJuvenil2024-720x480.jpg,https://news.google.com/api/attachments/CC8iK0NnNUZiVU5YY1RsTGNtZFVOMWRZVFJERUF4aW1CU2dLTWdZSmdveHFNUVk,"04/22/2024, 07:00 AM, +0000 UTC",2024-04-22T07:00:00Z,
3,No se veía desde 1893: Hallan rana de pecho espinoso de Malleco en el país,El Desconcierto,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://eldesconcierto.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://eldesconcierto.cl/2024/04/26/no-se-veia-desde-1893-hallan-rana-de-pecho-espinoso-de-malleco-en-el-pais,,,"04/25/2024, 07:00 AM, +0000 UTC",2024-04-25T07:00:00Z,Florencia Dominguez Leniz
4,Redescubren la ranita de pecho espinoso en La Araucanía: estaba desaparecida hace 130 años,24horas,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.24horas.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://www.24horas.cl/conciencia-24-7/sostenibilidad/redescubren-la-ranita-de-pecho-espinoso-araucania,https://www.24horas.cl/24horas/site/artic/20250324/imag/foto_0000000520250324103717/Ranita-Pecho-Espinoso.jpg,https://news.google.com/api/attachments/CC8iK0NnNVVWWGxKZEdkZlVXWXlTekJUVFJDb0FSaXNBaWdCTWdZQllvWk9LUWM,"03/24/2025, 07:00 AM, +0000 UTC",2025-03-24T07:00:00Z,
5,Investigadores en Sudamérica redescubren especie de rana aparentemente desaparecida hace más de 130 años,La República,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://larepublica.pe&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://larepublica.pe/ciencia/2025/03/11/investigadores-en-sudamerica-redescubren-una-especie-de-rana-aparentemente-desaparecida-hace-mas-de-130-anos-825517,https://larepublica.cronosmedia.glr.pe/original/2025/03/11/67d0d8dda354b768fe1134d4.jpg,https://news.google.com/api/attachments/CC8iK0NnNVhNMXBYVm5GNlprcFVNa1ozVFJDdEF4akxCU2dLTWdhQllvUnVLUWM,"03/13/2025, 07:00 AM, +0000 UTC",2025-03-13T07:00:00Z,
6,Descubren rana que se creía desaparecida hace 130 años en Chile,Diario Primicia,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://primicia.com.ve&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",https://primicia.com.ve/mas/ciencia-y-tecnologia/descubren-rana-que-se-creia-desaparecida-hace-130-anos-en-chile/,https://primicia.com.ve/wp-content/uploads/2025/03/ranita-hallazgo-la-araucania-730x524.png,https://news.google.com/api/attachments/CC8iI0NnNVlWMFpaU0RRMVJWbENTSEZMVFJEVkF4aU9CU2dLTWdB,"03/22/2025, 07:00 AM, +0000 UTC",2025-03-22T07:00:00Z,
