position,title,source/name,source/icon,source/authors/0,link,thumbnail,thumbnail_small,date,iso_date
1,Redescubren a enigmática rana en desierto de Atacama luego de estar 80 años perdida para la ciencia,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Paula Diaz Levi,https://laderasur.com/articulo/redescubren-enigmatica-rana-en-desierto-de-atacama-luego-de-80-anos-de-estar-perdida-para-la-ciencia/,https://laderasur.com/wp-content/uploads/2020/09/rana-de-hall-en-desierto-de-atacama-cclaudio-azat-3.jpg,https://news.google.com/api/attachments/CC8iK0NnNTRlRWxMZFZGRVJEQllVV1JJVFJEZ0F4aUFCU2dLTWdZSmM0NXRNUVk,"09/08/2020, 07:00 AM, +0000 UTC",2020-09-08T07:00:00Z
2,Minera El Abra estudia y apoya la conservación de sapos endémicos del Salar de Ascotán,Timeline.cl,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.timeline.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.timeline.cl/minera-el-abra-estudia-y-apoya-la-conservacion-de-sapos-endemicos-del-salar-de-ascotan/,https://i0.wp.com/www.timeline.cl/wp-content/uploads/2022/06/sapito.jpg?resize=1068%2C580&ssl=1,https://news.google.com/api/attachments/CC8iK0NnNXRRbXhvVDNaTFMxcE5OWFZhVFJDWUF4andCU2dLTWdZaElJaU5wUVU,"06/30/2022, 07:00 AM, +0000 UTC",2022-06-30T07:00:00Z
3,Minera El Abra estudia y apoya la conservación de sapos endémicos del Salar de Ascotán,soychile.cl,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.soychile.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.soychile.cl/calama/publirreportajes/2022/07/11/766068/sapos.html,https://img.soy-chile.cl/Fotos/2022/07/11/file_20220711125459.jpg,https://news.google.com/api/attachments/CC8iK0NnNDNNWEl4WldWR1UzWkJSa2RqVFJDcUF4alFCU2dLTWdhQkJvNExsZ1U,"07/11/2022, 07:00 AM, +0000 UTC",2022-07-11T07:00:00Z
4,Científicos redescubren enigmática rana del desierto de Atacama que no se había visto hace 80 años,Teletrece,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.t13.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.t13.cl/noticia/tendencias/rana-hall-desierto-atacama-80-anos-perdida-10-09-2020,https://s.t13.cl/sites/default/files/styles/manualcrop_1600x800/public/t13/field-imagen/2020-09/1599743260-rana.jpg.jpeg?itok=Mpw-eT34,https://news.google.com/api/attachments/CC8iK0NnNUNTVEpTTjFOWVEwWlRjV3RwVFJDa0FSaTBBaWdCTWdZVkk1WUpJZ2c,"09/10/2020, 07:00 AM, +0000 UTC",2020-09-10T07:00:00Z
