position,title,source/name,source/icon,source/authors/0,link,thumbnail,thumbnail_small,date,iso_date
1,Chile: cinco datos sobre la conservación del Rayadito de isla Selkirk,Mongabay,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://es.mongabay.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Alexandra De Amesti,https://es.mongabay.com/2020/10/chile-rayadito-de-isla-selkirk/,https://imgs.mongabay.com/wp-content/uploads/sites/25/2020/06/04232029/eBird-1200x800.jpg,https://news.google.com/api/attachments/CC8iK0NnNUxWRkJITVcwM01HOUhWV2RrVFJERUF4aW1CU2dLTWdZQkVZakxzUVk,"10/01/2020, 07:00 AM, +0000 UTC",2020-10-01T07:00:00Z
2,Una inédita expedición naturalista a la isla Alejandro Selkirk: explorando los misterios de las aves y el paisaje en el Archipiélago de Juan Fernández,Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://laderasur.com/fotografia/adentrandose-en-la-lejana-isla-alejandro-selkirk-una-expedicion-ornitologica-y-fotografica-en-el-archipielago-de-juan-fernandez/,https://laderasur.com/wp-content/uploads/2025/02/alejandro-selkirk-guy-wnborne-11.jpg,https://news.google.com/api/attachments/CC8iJ0NnNDFhRmhRVUdwWVZXNUpZVUpsVFJERUF4aW1CU2dLTWdNUjBBbw,"02/20/2025, 08:00 AM, +0000 UTC",2025-02-20T08:00:00Z
3,"Por primera vez, en 150 años, se observa un nido con polluelos de rayadito, el ave más amenazada de Chile",Diario Sustentable,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.diariosustentable.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.diariosustentable.com/2016/06/primera-vez-150-anos-se-observa-nido-polluelos-rayadito-ave-mas-amenazada-chile/,https://i0.wp.com/www.diariosustentable.com/wp-content/uploads/2016/06/Foto-3-2.jpg?resize=300%2C200&ssl=1,https://news.google.com/api/attachments/CC8iK0NnNDVTRVppTjB0eVMwWlZZMUpGVFJESUFSaXNBaWdLTWdZQmNJN2tOZ2M,"06/29/2016, 07:00 AM, +0000 UTC",2016-06-29T07:00:00Z
4,Logran inédita ocupación de cinco casas anideras con rayaditos de Más Afuera en isla Alejandro Selkirk,Radio Festival – La radio en colores de Chile,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.radiofestival.cl&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.radiofestival.cl/logran-inedita-ocupacion-de-cinco-casas-anideras-con-rayaditos-de-mas-afuera-en-isla-alejandro-selkirk/,https://www.radiofestival.cl/wp-content/uploads/2018/01/Rayadito-de-Masafuera-Aphrastura-masafuerae_Fotografi%CC%81a-He%CC%81ctor-Gutie%CC%81rrez-1-660x330.jpg,https://news.google.com/api/attachments/CC8iK0NnNVRNVFpvUlVRMlZHSk9SelZFVFJES0FoaVVCU2dLTWdZSllJYlNRQVE,"01/19/2018, 08:00 AM, +0000 UTC",2018-01-19T08:00:00Z
5,Conoce el ave más amenazada de Chile,ECOticias.com,"https://encrypted-tbn1.gstatic.com/faviconV2?url=https://www.ecoticias.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.ecoticias.com/naturaleza/101995_conoce-ave-amenazada-chile,https://www.ecoticias.com/wp-content/uploads/2022/01/RZOO_masafuera-rayadito-aphrastura-masafuerae-300x200-1-1.jpg,https://news.google.com/api/attachments/CC8iK0NnNXlTakJJV2pGVVVVOVBka2QzVFJESUFSaXNBaWdLTWdhRkpJYkxQUVU,"02/17/2022, 06:16 AM, +0000 UTC",2022-02-17T06:16:38Z
6,Chile: el Rayadito de isla Selkirk se recupera de su estado crítico en casitas artificiales,Mongabay,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://es.mongabay.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Barinia Montoya Montenegro,https://es.mongabay.com/2020/06/chile-el-rayadito-de-isla-selkirk-se-recupera-casitas-artificiales/,https://imgs.mongabay.com/wp-content/uploads/sites/25/2020/06/04232029/eBird-1200x800.jpg,https://news.google.com/api/attachments/CC8iK0NnNUxWRkJITVcwM01HOUhWV2RrVFJERUF4aW1CU2dLTWdZQkVZakxzUVk,"06/09/2020, 07:00 AM, +0000 UTC",2020-06-09T07:00:00Z
7,"Nuevo plan busca evitar la extinción de las aves de Juan Fernández: se enfocará en especies exóticas, incendios, entre otras amenazas",Ladera Sur,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://laderasur.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Paula Diaz Levi,https://laderasur.com/articulo/un-nuevo-plan-busca-evitar-la-extincion-de-las-aves-terrestres-de-juan-fernandez-se-enfocara-en-especies-exoticas-incendios-entre-otras-amenazas/,https://laderasur.com/wp-content/uploads/2019/12/picaflor-macho-jf-hector-gutierrez-oikonos-2.jpg,https://news.google.com/api/attachments/CC8iK0NnNUdhVE5IVFc1MWEwRTBZWEJRVFJESUF4aWdCU2dLTWdhZGxJek5zUVU,"12/30/2019, 08:00 AM, +0000 UTC",2019-12-30T08:00:00Z
8,"Ave del Archipiélago de Juan Fernández está al borde de la extinción, quedan sólo 150 ejemplares",elciudadano.com,"https://encrypted-tbn0.gstatic.com/faviconV2?url=https://www.elciudadano.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",,https://www.elciudadano.com/medio-ambiente/ave-del-archipielago-de-juan-fernandez-esta-al-borde-de-la-extincion-quedan-solo-150-ejemplares/07/12/,https://www.elciudadano.com/wp-content/uploads/2011/07/rayadito-458x397.jpg,https://news.google.com/api/attachments/CC8iL0NnNVJNVVppTkZKR1EySlNRbXcwVFJDTkF4aktBeWdLTWdtUlJJb3FyaWVxcUFJ,"07/12/2011, 07:00 AM, +0000 UTC",2011-07-12T07:00:00Z
