Source.Name;title;source/name;link;iso_date.1;source/authors/0;Revisada;;
convertcsv (29).csv;Chile inicia proceso para declarar Monumento Natural al pingüino de Humboldt;ELPINGUINO.COM;https://elpinguino.com/noticia/2026/01/23/chile-inicia-proceso-para-declarar-monumento-natural-al-pinguino-de-humboldt;23-01-2026;;*;;
convertcsv (29).csv;Reactivan permiso ambiental de Dominga mientras crece incertidumbre por protección del pingüino de Humboldt;Ladera Sur;https://laderasur.com/articulo/reactivan-permiso-ambiental-de-dominga-mientras-crece-incertidumbre-por-proteccion-del-pinguino-de-humboldt/;21-03-2026;;*;;
convertcsv (29).csv;Declaran al pingüino de Humboldt como Monumento Natural de especie en todo Chile;Universidad de Chile;https://radio.uchile.cl/2026/02/14/declaran-al-pinguino-de-humboldt-como-monumento-natural-de-especie-en-todo-chile/;14-02-2026;;*;;
convertcsv (29).csv;Pingüino de Humboldt ya es Monumento Natural en Chile;Identidad y Futuro;https://identidadyfuturo.cl/2026/03/12/pinguino-de-humboldt-monumento-natural-chile/;12-03-2026;;*;;
convertcsv (29).csv;Especialistas UdeC analizan impacto ambiental que pone en riesgo al pingüino de Humboldt;Noticias UdeC;https://noticias.udec.cl/especialistas-udec-analizan-impacto-ambiental-que-pone-en-riesgo-al-pinguino-de-humboldt/;07-11-2025;;*;;
convertcsv (29).csv;Uno de los últimos refugios del Pingüino de Humboldt que debes visitar el 2026;Chile Travel;https://chile.travel/blog/uno-de-los-ultimos-refugios-del-pinguino-de-humboldt-que-debes-visitar-el-2026/;19-12-2025;;*;;
convertcsv (29).csv;Contra ranita de Darwin, pingüino de Humboldt y áreas protegidas: Kast defiende retiro de 43 decretos medioambientales;Interferencia |;https://interferencia.cl/articulos/contra-ranita-de-darwin-pinguino-de-humboldt-y-areas-protegidas-kast-defiende-retiro-de-43;18-03-2026;;*;;
convertcsv (29).csv;El pingüino de Humboldt es declarado Monumento Natural de Chile;ELPINGUINO.COM;https://www.elpinguino.com/noticia/2026/02/16/el-pinguino-de-humboldt-es-declarado-monumento-natural-de-chile;16-02-2026;;*;;
convertcsv (29).csv;"Oceana: Los pingüinos de Humboldt ""están en peligro"", no tienen el mismo tiempo que los gobiernos";Universidad de Chile;https://radio.uchile.cl/2026/03/19/oceana-los-pinguinos-de-humboldt-estan-en-peligro-no-tienen-el-mismo-tiempo-que-los-gobiernos/;19-03-2026;Constanza Vargas Castillo;*;;
convertcsv (29).csv;"Experto advierte qué pasaría si se extingue el pingüino de Humboldt: ""Sería un tremendo impacto""";BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/medio-ambiente-cyt/2026/03/18/experto-advierte-que-pasaria-si-se-extingue-el-pinguino-de-humboldt-seria-un-tremendo-impacto.shtml;18-03-2026;Sara Jerez;*;;
convertcsv (29).csv;Pingüino de Humboldt pasa a “en peligro” en Chile y alerta a especialistas;ELPINGUINO.COM;https://elpinguino.com/noticia/2025/10/24/pinguino-de-humboldt-pasa-a-en-peligro-en-chile-y-alerta-a-especialistas;24-10-2025;;*;;
convertcsv (29).csv;¡Últimos días! El pingüino de Humboldt necesita tu ayuda: Así puedes apoyar su declaratoria como Monumento Natural de Chile;Ladera Sur;https://laderasur.com/articulo/ultimos-dias-el-pinguino-de-humboldt-necesita-tu-ayuda-asi-puedes-apoyar-su-declaratoria-como-monumento-natural-de-chile/;28-01-2026;;*;;
convertcsv (29).csv;Declaran al pingüino de Humboldt como Monumento Natural: ¿qué implica esta categoría?;Teletrece;https://www.t13.cl/noticia/nacional/declaran-al-pinguino-humboldt-como-monumento-natural-implica-esta-categoria-15-2-2026;15-02-2026;;*;;
convertcsv (29).csv;"Experto y retiro de decreto que protegía al pingüino de Humboldt: ""argumentos eran bastante sólidos""";BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/medio-ambiente-cyt/2026/03/17/experto-y-retiro-de-decreto-que-protegia-al-pinguino-de-humboldt-argumentos-eran-bastante-solidos.shtml;17-03-2026;Ignacio Hermosilla Portales;*;;
convertcsv (29).csv;Pingüino de Humboldt: El llamado a proteger a esta especie en peligro de conservación;Cooperativa Ciencia;https://www.cooperativaciencia.cl/medio-ambiente/2026/01/20/pinguino-de-humboldt-el-llamado-a-proteger-a-esta-especie-en-peligro-de-conservacion/;20-01-2026;;*;;
convertcsv (29).csv;Chile declara al pingüino de Humboldt Monumento Natural y refuerza su protección en todo el país;El Mostrador;https://www.elmostrador.cl/agenda-pais/agenda-sustentable/2026/02/19/chile-declara-al-pinguino-de-humboldt-monumento-natural-y-refuerza-su-proteccion-en-todo-el-pais/;19-02-2026;;*;;
convertcsv (29).csv;Chile declara oficialmente al pingüino de Humboldt en peligro de extinción: ¿se puede recuperar?;BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2025/10/23/chile-declara-oficialmente-al-pinguino-de-humboldt-en-peligro-de-extincion-se-puede-recuperar.shtml;23-10-2025;Sara Jerez;*;;
convertcsv (29).csv;"Registran por primera vez un pingüino de Humboldt albino en Chile: ""Queda más expuesto a depredadores""";BioBioChile;https://www.biobiochile.cl/noticias/ciencia-y-tecnologia/ciencia/2026/01/20/registran-por-primera-vez-un-pinguino-de-humboldt-albino-en-chile-queda-mas-expuesto-a-depredadores.shtml;20-01-2026;;*;;
convertcsv (29).csv;Últimos días para apoyar: el pingüino de Humboldt necesita tu ayuda para ser Monumento Natural de Chile;Teletrece;https://www.t13.cl/noticia/nacional/ultimos-dias-para-apoyar-pinguino-humboldt-necesita-tu-ayuda-para-ser-monumento-29-1-2026;29-01-2026;;*;;
convertcsv (29).csv;Pingüino de Humboldt es declarado Monumento Natural en Chile;Diario Sostenible;https://www.diariosostenible.cl/noticia/premios-y-reconocimientos/2026/02/pinguino-de-humboldt-es-declarado-monumento-natural-en-chile;16-02-2026;;*;;
convertcsv (29).csv;Chile abre consulta ciudadana para declarar Monumento Natural al pingüino de Humboldt: Cómo participar;El Desconcierto;https://eldesconcierto.cl/2026/01/23/chile-abre-consulta-ciudadana-para-declarar-monumento-natural-al-pinguino-de-humboldt-como-participar;23-01-2026;;*;;
convertcsv (29).csv;Pingüino de Humboldt es declarado Monumento Natural en Chile: ¿qué significa?;Canal 13;https://www.13.cl/c/programas/espacio-13c/pinguino-de-humboldt-es-declarado-monumento-natural-en-chile-que-significa;20-02-2026;;*;;
convertcsv (29).csv;Pingüino de Humboldt En Peligro: “La nueva clasificación muestra que debemos tomar acciones para cuidar la corriente de Humboldt”;Ladera Sur;https://laderasur.com/articulo/pinguino-de-humboldt-en-peligro-la-nueva-clasificacion-muestra-que-debemos-tomar-acciones-para-cuidar-la-corriente-de-humboldt/;06-11-2025;Verónica García López;*;;
convertcsv (29).csv;Expertos alertan grave disminución del pingüino de Humboldt en Chile: quedan menos de 20 mil ejemplares;ADN Radio;https://www.adnradio.cl/2025/11/11/expertos-alertan-grave-disminucion-del-pinguino-de-humboldt-en-chile-quedan-menos-de-20-mil-ejemplares/;11-11-2025;;*;;
convertcsv (29).csv;Investigación registró primer hallazgo de pingüino de Humboldt albino en la Región del Biobío;El Mostrador;https://www.elmostrador.cl/cultura/2026/01/22/investigacion-registro-primer-hallazgo-de-pinguino-de-humboldt-albino-en-la-region-del-biobio/;22-01-2026;;*;;
