Source.Name;title;source/name;link;iso_date.1;source/authors/0
convertcsv (30).csv;Alerta en un country de Hudson por un puma suelto: montaron un operativo para capturarlo;Radio Dos Corrientes;https://www.radiodos.com.ar/204959-alerta-en-un-country-de-hudson-por-un-puma-suelto-montaron-un-operativo-para-capturarlo;04-03-2026;
convertcsv (30).csv;Atropellaron y mataron a un puma en un tramo de la Ruta 40;Diario 13 San Juan;https://www.canal13sanjuan.com/policial/atropellaron-y-mataron-a-un-puma-en-un-tramo-de-la-ruta-40_a697170d3a4b238967970b27c;21-01-2026;
convertcsv (30).csv;Alerta en Zonda por el avistamiento de un puma: búsqueda e incertidumbre entre los vecinos;Tiempo de San Juan;https://www.tiempodesanjuan.com/san-juan/alerta-zonda-el-avistamiento-un-puma-busqueda-e-incertidumbre-los-vecinos-n422447;05-02-2026;
convertcsv (30).csv;Denunciaron penalmente a un hombre por el maltrato de un puma;El Ancasti;https://www.elancasti.com.ar/policiales/denunciaron-penalmente-un-hombre-el-maltrato-un-puma-n605948;19-02-2026;
convertcsv (30).csv;“El puma que apareció en la zona norte estaba desorientado y bajo mucho estrés”;El Esquiu;https://www.elesquiu.com/sociedad/2025/11/12/el-puma-que-aparecio-en-la-zona-norte-estaba-desorientado-bajo-mucho-estres-575301.html;12-11-2025;
convertcsv (30).csv;Alerta en Hudson por un puma suelto en un barrio privado;Diario El Norte;https://diarioelnorte.com.ar/alerta-en-hudson-por-un-puma-suelto-en-un-barrio-privado-2/;04-03-2026;
convertcsv (30).csv;Alerta en Hudson por un puma suelto en un barrio privado;Diario El Norte;https://diarioelnorte.com.ar/alerta-en-hudson-por-un-puma-suelto-en-un-barrio-privado/;04-03-2026;
convertcsv (30).csv;Sin avistamiento de puma nuevamente en San Agustín Tlaxiaca, revelan cámaras trampa;Milenio;https://www.milenio.com/comunidad/avistamiento-puma-nuevamente-san-agustin-tlaxiaca;20-12-2025;
convertcsv (30).csv;Pánico en un barrio privado por la presencia de un puma silvestre;Los Andes;https://www.losandes.com.ar/sociedad/panico-un-barrio-privado-la-presencia-un-puma-silvestre-n5982675;04-03-2026;
convertcsv (30).csv;Buscan a un puma suelto en un barrio privado de Hudson;El Diario Sur;https://www.eldiariosur.com/provinciales/2026/3/4/buscan-un-puma-suelto-en-un-barrio-privado-de-hudson-78216.html;04-03-2026;
convertcsv (30).csv;Reportan avistamiento de puma en Huatulco;Meganoticias.MX;https://www.meganoticias.mx/salina-cruz/noticia/reportan-avistamiento-de-puma-en-huatulco/703371;28-01-2026;
convertcsv (30).csv;Un puma silvestre apareció en un barrio privado y activó un operativo en Berazategui;Somos Jujuy;https://www.somosjujuy.com.ar/sociedad/un-puma-silvestre-aparecio-barrio-privado-activo-operativo-berazategui-n114541;04-03-2026;
convertcsv (30).csv;Avistan puma en el Salto del Itata de la comuna de Yungay;Radio UdeC;https://www.radioudec.cl/avistan-puma-en-el-salto-del-itata-de-la-comuna-de-yungay/;25-11-2024;
