Especie ID;Nombre científico ;Nombre común;Clase;RCE;ID Noticia;URL;Fuente;Usa N. Científico;Usa N. Común;Alcance;Es protagonsita;Tiene foto;Tono predominante
168;Phymaturus darwini;Matuasto de Darwin, lagarto de cola gruesa;Reptilia;EN;;;;;;;;;
169;Phymaturus maulense;Matuasto;Reptilia;EN;;;;;;;;;
170;Plectostylus araucanus;Caracol de árbol araucano, caracol de árbol;Gastropoda;EN;;;;;;;;;
171;Praocis aenea;Vaquita;Insecta;EN;;;;;;;;;
172;Praocis bicentenario;Vaquita del bicentenario;Insecta;EN;;;;;;;;;
173;Pristidactylus valeriae;Gruñidor de Valeria;Reptilia;EN;;;;;;;;;
174;Pristidactylus volcanensis;Gruñidor de El Volcán;Reptilia;EN;;;;;;;;;
175;Ptychodon oculta;Caracol terrestre Ptychodon;Gastropoda;EN;;;;;;;;;
176;Ptychodon skottsberg;Caracol terrestre Ptychodon;Gastropoda;EN;;;;;;;;;
177;Scotobius planicosta;;Insecta;EN;;;;;;;;;
178;Succinea fragilis;Caracol terrestre Succinea;Gastropoda;EN;;;;;;;;;
179;Succinea mamillata;Caracol terrestre Succinea;Gastropoda;EN;;;;;;;;;
180;Succinea pinguis;Caracol terrestre Succinea;Gastropoda;EN;;;;;;;;;
181;Telmatobius philippii;Sapo de Philippi;Amphibia;EN;;;;;;;;;
182;Telmatobufo ignotus;Rana montana de Los Queules;Amphibia;EN;;;;;;;;;
183;Telmatobufo venustus;Sapo hermoso;Amphibia;EN;;;;;;;;;
184;Tornatellina minuta;Caracol terrestre Tornatellina;Gastropoda;EN;;;;;;;;;
185;Trichomycterus laucaensis;Bagrecito;Actinopterygii;EN;;;;;;;;;
186;Uretacris lilai;Langosta de Ureta, langosta de Lila, langosta de La Chimba;Insecta;EN;;;;;;;;;
187;Valdiviomyia gigantea;Mosca florícola valdiviana gigante;Insecta;EN;;;;;;;;;
188;Virilastacus rucapihuelensis;Camarón;Malacostraca;EN;;;;;;;;;
189;Chileputo chilensis;Chanchito blanco de la araucaria;Insecta;EN ;;;;;;;;;
190;Alsodes barrioi;Sapo de Barros;Amphibia;EN-RARA;;;;;;;;;
191;Alsodes montanus;Sapo de monte;Amphibia;EN-RARA;;;;;;;;;
192;Alsodes tumultuosus;Sapo;Amphibia;EN-RARA;;;;;;;;;
193;Alsodes vanzolinii;Sapo de Vanzolini;Amphibia;EN-RARA;;;;;;;;;
194;Anairetes fernandezianus;Cachudito de Juan Fernández ;Aves;EN-RARA;;;;;;;;;
195;Cheirodon kiliani;Pocha;Actinopterygii;EN-RARA;;;;;;;;;
196;Diplomystes chilensis;Tollo de agua dulce;Actinopterygii;EN-RARA;;;;;;;;;
197;Eupsophus insularis;Sapo de Isla Mocha;Amphibia;EN-RARA;;;;;;;;;
198;Eupsophus migueli;Sapo de Miguel;Amphibia;EN-RARA;;;;;;;;;
199;Eupsophus nahuelbutensis;Sapo de Nahuelbuta;Amphibia;EN-RARA;;;;;;;;;
200;Galaxias globiceps;Puye;Actinopterygii;EN-RARA;;;;;;;;;
201;Insuetophrynus acarpicus;Sapo ;Amphibia;EN-RARA;;;;;;;;;
202;Telmatobius pefauri;Sapo de Pefaur;Amphibia;EN-RARA;;;;;;;;;
203;Telmatobius zapahuirensis;Sapo de Zapahuira;Amphibia;EN-RARA;;;;;;;;;
204;Trichomycterus chiltoni;Bagrecito;Actinopterygii;EN-RARA;;;;;;;;;
205;Trichomycterus chungaraensis;Bagrecito;Actinopterygii;EN-RARA;;;;;;;;;
206;Trichomycterus rivulatus;Bagrecito;Actinopterygii;EN-RARA;;;;;;;;;
