Etiqueta;Nombre científico;Nombre común;Clase;RCE;Endémica;Apariciones;Protagonista;% Protagonismo;Foto
17 - caracol de Paposo;Chilina angusta;caracol de Paposo;Gasotropoda;CR;SÍ;4;1;25;3
214 - huemul;Hippocamelus bisulcus;huemul, taruca, wümul, güemul, shoan, shoen, trula, hueque, ciervo sur andino;Mammalia;EN;No;8;5;62,5;8
215 - ranita de Darwin;Rhinoderma darwinii;ranita de Darwin;Amphibia;EN;No;24;24;100;24
216 - pingüino de Humboldt;Spheniscus humboldti;pingüino de Humboldt, pingüino, pájaro niño, patranka, Humboldt Penguin (inglés), Peruvian penguin (inglés);Aves;EN;No;76;76;100;76
25 - picaflor de Arica;Eulidia yarrellii;picaflor de Arica, estrellita chilena;Aves;CR;SÍ;8;8;100;8
45 - lagarto gruñidor de Álvaro;Pristidactylus alvaroi;lagarto gruñidor de Álvaro;Reptilia;CR;SÍ;9;7;77,77777778;8
49 - ranita ;Rhinoderma rufum;ranita ;Amphibia;CR;SÍ;13;4;30,76923077;13
50 - borrachito;Sclerostomulus nitidus;borrachito;Insecta;CR;SÍ;1;0;0;1
51 - picaflor de Juan Fernández;Sephanoides fernandensis;picaflor de Juan Fernández;Aves;CR;SÍ;1;0;0;1
